,,,"PostMile","Post",,"Back",,,"Ahead",,,
12,1,"ORA"," ",25.89,"HUNTINGTON BEACH,   GOLDENWEST STREET                                                                         ",3650,43000,40000,3300,38500,36000,
12,1,"ORA"," ",29.89,"WARNER AVENUE                                                                                                 ",3300,38500,36000,3450,40500,38000,
12,1,"ORA"," ",32.72,"SEAL BEACH, SEAL BEACH BOULEVARD                                                                              ",3450,40500,38000,3300,42500,40000,
12,1,"ORA"," ",33.72,"ORANGE-LOS ANGELES COUNTY LINE (SEAL BEACH NORTH CITY LIMITS)                               ",3300,42500,40000,"      ","       ","       ",
7,1," LA"," ",0,"ORANGE-LOS ANGELES COUNTY LINE (LONG BEACH SOUTH CITY LIMITS)                               ","      ","       ","       ",3300,42500,40000,
7,1," LA"," ",1.86,"LONG BEACH, BELLFLOWER BOULEVARD                                                                              ",3000,38000,36000,2300,28500,27000,
7,1," LA"," ",1.97,"LONG BEACH, JCT. RTE. 22   EAST; 7TH STREET                                                                   ",2300,28500,27000,3050,37500,35500,
7,1," LA"," ",2.75,"LONG BEACH, ANAHEIM STREET                                                                                    ",3050,37500,35500,2400,29500,28000,
7,1," LA"," ",3.56,"LONG BEACH, JCT. RTE. 19,   LAKEWOOD BOULEVARD                                                                ",2850,34500,33000,3500,41500,40000,
7,1," LA"," ",5.01,"LONG BEACH, CHERRY AVENUE                                                                                     ",3150,38000,36500,3250,39000,37500,
7,1," LA"," ",6.26,"LONG BEACH, LONG BEACH BOULEVARD                                                                              ",2900,35500,34000,2900,35500,34000,
7,1," LA"," ",7.29,"LONG BEACH, JCT. RTE. 710,   LONG BEACH FREEWAY                                                               ",3050,38000,36500,3300,41500,40000,
7,1," LA"," ",8.27,"LONG BEACH, JCT. RTE. 103,   TERMINAL ISLAND FREEWAY                                                          ",2500,31500,30500,2700,34500,33000,
7,1," LA"," ",9.25,"WILMINGTON, ALAMEDA STREET                                                                                    ",2700,34500,33000,2450,31000,30000,
7,1," LA"," ",10.53,"WILMINGTON, AVALON BOULEVARD                                                                                  ",2600,34000,32500,2550,33500,32000,
7,1," LA"," ",11.61,"WILMINGTON, JCT. RTE. 110,   HARBOR FREEWAY                                                                   ",2850,37500,36000,3900,52000,50000,
7,1," LA"," ",12.17,"WILMINGTON, VERMONT AVENUE                                                                                    ",3900,52000,50000,3700,48500,46500,
7,1," LA"," ",12.52,"WILMINGTON, NORMANDIE AVENUE                                                                                  ",3700,48500,46500,3650,47000,45000,
7,1," LA"," ",13.1,"WILMINGTON, JCT. RTE. 213,   WESTERN AVENUE                                                                   ",3300,41500,40000,4250,53000,51000,
7,1," LA"," ",14.63,"TORRANCE, CRENSHAW BOULEVARD                                                                                  ",4100,50000,48000,3400,40000,38500,
7,1," LA"," ",16.01,"TORRANCE, JCT. RTE. 107   NORTH; HAWTHORNE BOULEVARD                                                          ",3300,40000,38500,3800,45500,44500,
7,1," LA"," ",18.09,"TORRANCE, PALOS VERDES BOULEVARD                                                                              ",3000,36500,35500,2050,26500,25500,
7,1," LA"," ",19.52,"REDONDO BEACH, TORRANCE BOULEVARD                                                                             ",2900,37000,36000,3200,41500,40000,
7,1," LA"," ",21.34,"HERMOSA BEACH, PIER AVENUE/   14TH STREET                                                                     ",4000,52000,50000,3500,45500,44000,
7,1," LA"," ",21.92,"MANHATTAN BEACH, JCT. RTE.   91, ARTESIA BOULEVARD                                                            ",3850,49500,48000,3850,50000,48500,
7,1," LA"," ",22.9,"MANHATTAN BEACH,   MANHATTAN BEACH BOULEVARD                                                                  ",4200,54000,52000,4150,53000,51000,
7,1," LA"," ",23.92,"EL SEGUNDO, ROSECRANS AVENUE                                                                                  ",4650,59000,57000,4550,57000,55000,
7,1," LA"," ",24.91,"EL SEGUNDO, EL SEGUNDO BOULEVARD                                                                              ",4600,57000,55000,4450,55000,53000,
7,1," LA"," ",25.92,"LOS ANGELES, JCT. RTE. 105,   CENTURY FREEWAY                                                                 ",5600,68000,66000,10800,129000,125000,
7,1," LA"," ",26.87,"MILEPOST EQUATION   =26.90                                                                                    ",,,,,,,
7,1," LA"," ",26.91,"LOS ANGELES INTERNATIONAL   AIRPORT, CENTURY BOULEVARD                                                        ",10800,129000,125000,4950,59000,57000,
7,1," LA"," ",27.36,"LOS ANGELES INTERNATIONAL   AIRPORT VIA LINCOLN BOULEVARD                                                     ",4950,59000,57000,3200,37500,36500,
7,1," LA"," ",29.08,"LOS ANGELES, JCT. RTE 42,   MANCHESTER AVENUE                                                                 ",3300,38500,37500,4500,52000,50000,
7,1," LA"," ",30.16,"JEFFERSON BOULEVARD                                                                                           ",4500,52000,50000,4450,53000,51000,
7,1," LA"," ",30.47,"CULVER BOULEVARD                                                                                              ",4450,53000,51000,5200,62000,60000,
7,1," LA"," ",31.28,"LOS ANGELES, JCT. RTE. 90;   MARINA BOULEVARD, MARINA FREEWAY                                                 ",5100,62000,60000,4950,62000,60000,
7,1," LA"," ",31.78,"LOS ANGELES, WASHINGTON BOULEVARD                                                                             ",5200,67000,65000,4300,56000,55000,
7,1," LA"," ",32.17,"LOS ANGELES, JCT. RTE.   187, VENICE BOULEVARD                                                                ",4300,56000,55000,4100,55000,54000,
7,1," LA"," ",34.33,"SANTA MONICA, PICO BOULEVARD                                                                                  ",3500,48500,47500,3450,49500,48500,
7,1," LA","R",34.58,"SANTA MONICA, JCT. RTE. 10   EAST; CONTINUE VIA SANTA MONICA FREEWA                                           ",3450,49500,48500,"      ","       ","       ",
7,1," LA"," ","       ","  (BREAK IN ROUTE)                                                                                            ","      ","       ","       ","      ","       ","       ",
7,1," LA","R",34.98,"MILEPOST EQUATION 35.01                                                                                       ","      ","       ","       ",5300,64000,59000,
7,1," LA"," ",35.18,"SANTA MONICA,   OCEAN AVENUE                                                                                  ",5300,64000,59000,6600,78000,73000,
7,1," LA"," ",35.24,"END FREEWAY                                                                                                   ",,,,,,,
7,1," LA"," ",36.11,"SANTA MONICA, CALIFORNIA   INCLINE INTERCHANGE                                                                ",6600,78000,73000,6900,82000,76000,
7,1," LA"," ",37.05,"LOS ANGELES, CHAUTAUQUA BOULEVARD                                                                             ",6900,82000,76000,6300,76000,70000,
7,1," LA"," ",39.33,"PACIFIC PALISADES,   SUNSET BOULEVARD                                                                         ",5700,70000,64000,5300,66000,60000,
7,1," LA"," ",40.77,"JCT. RTE. 27 NORTH;   TOPANGA CANYON BOULEVARD                                                                ",4650,58000,53000,3850,48500,44000,
7,1," LA"," ",44.12,"MALIBU, LAS FLORES CANYON ROAD                                                                                ",3750,47000,42500,3600,45000,40500,
7,1," LA"," ",47.09,"MALIBU, CROSS CREEK ROAD                                                                                      ",3700,46500,41500,3650,45500,40500,
7,1," LA"," ",47.75,"MALIBU, CIVIC CENTER WAY                                                                                      ",3650,45500,40500,2950,36500,32500,
7,1," LA"," ",48.17,"MALIBU, MALIBU CANYON ROAD                                                                                    ",2800,35000,31000,3100,38500,34000,
7,1," LA"," ",54.02,"MALIBU, KANAN DUME ROAD                                                                                       ",2350,28500,25500,2350,28500,25500,
7,1," LA"," ",56.85,"MALIBU, TRANCAS CANYON ROAD                                                                                   ",1700,20900,18700,1550,19100,17100,
7,1," LA"," ",57.39,"MALIBU, LUNITA ROAD                                                                                           ",1550,19100,17100,1550,18700,16800,
7,1," LA"," ",59.9,"MALIBU, JCT. RTE. 23   NORTH; DECKER CANYON ROAD                                                              ",1250,15100,13600,1250,15100,13700,
7,1,"LA"," ",62.87,"LOS ANGELES COUNTY-VENTURA COUNTY                                                                             ",1100,13200,12000,1100,13200,12000,
7,1,"VEN"," ",9.87,"CALLEQUAS CREEK; BEGIN FREEWAY                                                                                ",990,11600,10700,990,11600,10700,
7,1,"VEN"," ",10.23,"LAS POSAS ROAD                                                                                                ",990,11600,10700,1200,13600,12700,
7,1,"VEN"," ",11.59,"WOOD ROAD                                                                                                     ",1200,13600,12700,1550,17600,16500,
7,1,"VEN"," ",12.79,"HUENEME ROAD                                                                                                  ",1550,17600,16500,1700,19200,18100,
7,1,"VEN"," ",13.59,"NAUMAN ROAD                                                                                                   ",1700,19200,18100,1750,19400,18400,
7,1,"VEN"," ",14.54,"ETTING ROAD                                                                                                   ",1750,19400,18400,1800,19800,18900,
7,1,"VEN"," ",15.01,"OXNARD, PLEASANT VALLEY ROAD                                                                                  ",1800,19800,18900,1600,17200,16500,
7,1,"VEN"," ",15.93,"OXNARD, CHANNEL ISLAND BOULEVARD                                                                              ",1600,17200,16500,1150,12500,12100,
7,1,"VEN"," ",16.66,"END FREEWAY                                                                                                   ",,,,,,,
7,1,"VEN"," ",17.63,"OXNARD, SAVIERS ROAD                                                                                          ",1600,17200,16500,3100,35000,34000,
7,1,"VEN"," ",18.15,"OXNARD, JCT. RTE. 34 EAST,   FIFTH STREET                                                                     ",3250,37500,37000,2900,34500,34000,
7,1,"VEN"," ",19.62,"OXNARD, GONZALES ROAD                                                                                         ",3450,43000,42500,3700,41500,40500,
7,1,"VEN"," ",20.14,"OXNARD, JCT. RTE. 232   NORTHEAST; VINEYARD AVENUE                                                            ",3700,41500,40500,2400,27000,26000,
7,1,"VEN"," ",21.08,"OXNARD, JCT. RTE. 101,   VENTURA FREEWAY                                                                      ",2400,27000,26000,"      ","       ","       ",
7,1,"VEN"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
7,1,"VEN"," ",21.25,"SEGMENT VIA OLD ROUTE 101 AT  STATE BEACH                                                                     ","      ","       ","       ",500,4550,4000,
7,1,"VEN"," ",27.68,"SEACLIFF COLONY, JCT. RTE.   101, VENTURA FREEWAY                                                             ",500,4550,4000,100,730,610,
7,1,"VEN"," ",28.48,"SEACLIFF, MOBIL OIL PIER ROAD                                                                                 ",100,730,610,"      ","       ","       ",
5,1,"VEN"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
5,1," SB"," ","       ","SANTA BARBARA COUNTY                                                                                          ","      ","       ","       ","      ","       ","       ",
5,1," SB","R",0,"LAS CRUCES, JCT. RTE. 101                                                                                     ","      ","       ","       ",840,8500,7400,
5,1," SB","R",7.61,"MILEPOST EQUATION    =9.02                                                                                    ",,,,,,,
5,1," SB"," ",15.01,"JALAMA ROAD                                                                                                   ",840,8500,7400,910,8400,7700,
5,1," SB"," ",19.25,"LOMPOC, SOUTH JCT. RTE. 246                                                                                   ",1100,10100,9300,1650,17500,16000,
5,1," SB"," ",20.57,"LOMPOC, NORTH JCT. RTE. 246                                                                                   ",1600,18600,17000,1200,15700,14000,
5,1," SB"," ",22.52,"LOMPOC, SANTA YNEZ RIVER BRIDGE                                                                               ",1650,20100,19600,1550,18400,18000,
5,1," SB","R",23.3,"LOMPOC-CASMALIA ROAD,   JUNCTION OLD ROUTE 1                                                                  ",1550,18400,18000,1600,19900,19000,
5,1," SB","R",26.69,"PINE CANYON ROAD                                                                                              ",1600,19900,19000,1400,16300,16000,
5,1," SB","M",29.89,"VANDENBERG AIR FORCE BASE,   MAIN GATE                                                                        ",1600,18300,17800,1700,16500,16000,
5,1," SB","M",36.19,"SOUTH JCT. RTE. 135;   VANDENBERG, NORTH                                                                      ",1650,14900,14800,1550,16500,16000,
5,1," SB","R",34.78,"ORCUTT, JCT. RTE. 135 NORTH                                                                                   ",1550,16500,16000,260,2300,2100,
5,1," SB","R",35.53,"CLARK AVENUE                                                                                                  ",260,2300,2100,380,3650,3200,
5,1," SB","R",36.5,"MILEPOST EQUATION  =40.02                                                                                     ",,,,,,,
5,1," SB"," ",41.81,"GUADALUPE, CASMALIA ROAD                                                                                      ",640,6100,5400,170,2100,1850,
5,1," SB"," ",49.2,"GUADALUPE, JCT. RTE. 166 EAST                                                                                 ",310,2450,2050,520,6700,5900,
5,1," SB"," ",50.41,"GUADALUPE NORTH CITY LIMITS                                                                                   ",560,5300,4700,560,5300,4700,
5,1," SB"," ",50.61,"SANTA BARBARA COUNTY                                                                                          ","      ","       ","       ","      ","       ","       ",
5,1,"SLO"," ",0,"SAN LUIS OBISPO COUNTY OSO FLACO UNDERPASS                                                                    ",570,5300,4750,400,5700,5100,
5,1,"SLO"," ",6.35,"ENTRANCE, UNION OIL COKING PLANT                                                                              ",400,5700,5100,560,5100,4500,
5,1,"SLO"," ",10.21,"MILEPOST EQUATION   =10.28                                                                                    ",,,,,,,
5,1,"SLO"," ",10.29,"ARROYO GRANDE ROAD                                                                                            ",560,5100,4500,1000,9100,8100,
5,1,"SLO"," ",10.9,"HALCYON ROAD                                                                                                  ",1000,9100,8100,1200,11000,9800,
5,1,"SLO","R",12.92,"MILEPOST EQUATION   =12.95                                                                                    ",,,,,,,
5,1,"SLO"," ",13,"ENTRANCE, PISMO BEACH STATE PARK                                                                              ",1200,11000,9800,1300,12700,11000,
5,1,"SLO"," ",14.1,"GROVER CITY, GRAND AVENUE                                                                                     ",1300,12700,11000,1600,16000,14000,
5,1,"SLO"," ",15.27,"PISMO BEACH, VILLA CREEK                                                                                      ",1300,16400,13500,1300,16400,13500,
5,1,"SLO"," ",16.73,"PISMO BEACH, SOUTH JCT. RTE. 101                                                                              ",1650,16200,13000,"      ","       ","       ",
5,1,"SLO"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
5,1,"SLO"," ",16.77,"SAN LUIS OBISPO,   NORTH JCT. RTE. 101                                                                        ","      ","       ","       ",3050,35000,34000,
5,1,"SLO"," ",17.34,"SAN LUIS OBISPO,   FOOTHILL BOULEVARD                                                                         ",3050,35000,34000,2950,35500,34000,
5,1,"SLO"," ",17.87,"HIGHLAND DRIVE (CHORRO STREET)                                                                                ",2950,35500,34000,2400,29000,26000,
5,1,"SLO"," ",19.71,"ENTRANCE, LOS PADRES MENS COLONY                                                                             ",2400,29000,26000,2050,24800,22000,
5,1,"SLO"," ",20.89,"ENTRANCE, CAMP SAN LUIS OBISPO                                                                                ",2050,24800,22000,2050,24000,21600,
5,1,"SLO"," ",22.65,"ENTRANCE, CUESTA COLLEGE                                                                                      ",2050,24000,21600,1700,20300,18100,
5,1,"SLO"," ",27.43,"BEGIN FREEWAY                                                                                                 ",,,,,,,
5,1,"SLO"," ",27.88,"MORRO BAY, BAYWOOD PARK ROAD                                                                                  ",1700,20300,18100,2150,26000,24500,
5,1,"SLO"," ",28.82,"MORRO BAY, SOUTH   MORRO BAY                                                                                  ",2150,26000,24500,1850,21200,19500,
5,1,"SLO"," ",29.62,"MORRO BAY, NORTH   MORRO BAY                                                                                  ",1850,21200,19500,1800,22000,19500,
5,1,"SLO"," ",30.14,"MORRO BAY, JCT. RTE. 41   NORTHEAST                                                                           ",1800,22000,19500,1600,18500,16700,
5,1,"SLO"," ",30.33,"END FREEWAY                                                                                                   ",,,,,,,
5,1,"SLO"," ",31.13,"MORRO BAY, SAN JACINTO STREET                                                                                 ",1600,18500,16700,1500,17600,16000,
5,1,"SLO"," ",31.97,"MORRO BAY, YERBA BUENA STREET                                                                                 ",1500,17600,16000,1450,16500,13500,
5,1,"SLO","R",34.72,"BEGIN FREEWAY                                                                                                 ",,,,,,,
5,1,"SLO","R",34.91,"OLD CREEK ROAD                                                                                                ",1450,16500,13500,950,9800,8100,
5,1,"SLO","R",35.96,"C STREET                                                                                                      ",950,9800,8100,1000,9700,7400,
5,1,"SLO","R",36.5,"END FREEWAY                                                                                                   ",,,,,,,
5,1,"SLO","R",37.08,"MILEPOST EQUATION  =36.84                                                                                     ",,,,,,,
5,1,"SLO"," ",45.99,"JCT. RTE. 46                                                                                                  ",1000,9700,7400,1350,13400,9100,
5,1,"SLO"," ",46.85,"CAMBRIA AIR FORCE BASE ROAD                                                                                   ",1350,13400,9100,1350,13400,9100,
5,1,"SLO"," ",48.26,"ARDATH DRIVE/MAIN STREET                                                                                      ",1350,13400,9100,750,8800,7000,
5,1,"SLO"," ",54.8,"PICO CREEK                                                                                                    ",1150,11000,7200,1200,11000,7300,
5,1,"SLO"," ",56.39,"ENTRANCE, HEARST CASTLE STATE PARK                                                                            ",1250,12200,8100,550,4900,3100,
5,1,"SLO"," ",58.9,"SAN SIMEON, NORTH                                                                                             ",550,4900,3100,590,5200,3300,
5,1,"SLO","R",61.44,"MILEPOST EQUATION  =61.48                                                                                     ",,,,,,,
5,1,"SLO"," ",71,"MILEPOST EQUATION  =71.11                                                                                     ",,,,,,,
5,1,"SLO"," ",71.34,"SAN CARPOJO CREEK                                                                                             ",380,3250,2600,380,3250,2600,
5,1,"SLO"," ",74.32,"SAN LUIS OBISPO COUNTY                                                                                        ","      ","       ","       ","      ","       ","       ",
5,1,"MON","L",28.04,"MILEPOST EQUATION  =28.01                                                                                     ",,,,,,,
5,1,"MON"," ",35.35,"ANDERSON CANYON BRIDGE                                                                                        ",460,4250,2600,500,4550,2800,
5,1,"MON"," ",46.6,"BIG SUR RIVER BRIDGE                                                                                          ",740,6200,4200,740,6200,4200,
5,1,"MON"," ",62.97,"GARRAPATA CREEK BRIDGE;   BIG SUR, NORTH                                                                      ",620,6600,4800,760,7100,5900,
5,1,"MON"," ",68.34,"CARMEL HIGHLANDS,   YANKEE POINT DRIVE NORTH                                                                  ",760,7100,5900,940,10500,8200,
5,1,"MON","L",71.2,"MILEPOST EQUATION  =71.17                                                                                     ",,,,,,,
5,1,"MON"," ",71.18,"SAN JOSE CREEK BRIDGE                                                                                         ",1450,13900,13500,1450,14000,13500,
5,1,"MON"," ",72.61,"RIO ROAD                                                                                                      ",1450,14000,13500,2850,27000,26000,
5,1,"MON"," ",72.92,"CARMEL VALLEY ROAD;   CARMEL, SOUTH                                                                           ",2850,27000,26000,5500,52000,50000,
5,1,"MON"," ",73.8,"CARMEL, OCEAN AVENUE/   STERLING WAY                                                                          ",5500,52000,50000,4350,54000,51000,
5,1,"MON"," ",75.14,"JCT. RTE. 68, CARMEL/   PACIFIC GROVE                                                                         ",4400,54000,51000,5300,64000,61000,
5,1,"MON","R",75.22,"BEGIN FREEWAY                                                                                                 ",,,,,,,
5,1,"MON","R",75.73,"MONTEREY SOUTH CITY LIMITS                                                                                    ",5300,64000,61000,7600,84000,81000,
5,1,"MON","R",75.75,"MONTEREY, MUNRAS AVENUE                                                                                       ",7600,84000,81000,5000,56000,54000,
5,1,"MON","R",77.38,"MONTEREY, AGUAJITO ROAD                                                                                       ",5000,56000,54000,5100,57000,55000,
5,1,"MON","R",78.12,"MONTEREY, JCT. RTE. 68 EAST                                                                                   ",5100,57000,55000,6900,77000,72000,
5,1,"MON","R",78.88,"MONTEREY, DEL MONTE AVENUE                                                                                    ",6900,77000,72000,6700,76000,72000,
5,1,"MON","R",79.36,"SEASIDE, JCT. RTE. 218,   HUMBOLT STREET                                                                      ",6700,76000,72000,6800,80000,75000,
5,1,"MON","R",80.68,"SAND CITY, ORD VILLAGE                                                                                        ",6800,80000,75000,9200,99000,93000,
5,1,"MON","R",82.89,"FORT ORD, MAIN ENTRANCE                                                                                       ",9200,99000,93000,8100,88000,81000,
5,1,"MON","R",84.48,"FORT ORD, NORTH ENTRANCE   (12TH STREET)                                                                      ",8100,88000,81000,8900,98000,88000,
5,1,"MON","R",85.14,"SOUTH MARINA                                                                                                  ",8900,98000,88000,4350,45500,41000,
5,1,"MON","R",86.48,"MARINA, RESERVATION ROAD                                                                                      ",4350,45500,41000,4350,45500,41000,
5,1,"MON","R",88.64,"NEPONSET ROAD   (DEL MONTE BOULEVARD)                                                                         ",4350,45500,41000,3350,43500,38000,
5,1,"MON","R",89.19,"SALINAS RIVER BRIDGE;   CASTROVILLE, SOUTH                                                                    ",3350,43500,38000,3350,41000,39000,
5,1,"MON","R",90.39,"MOLERA/NASHUA ROADS                                                                                           ",3350,41000,39000,4200,46500,40000,
5,1,"MON","R",90.98,"CASTROVILLE, JCT. RTE. 156 WEST                                                                               ",4200,46500,40000,2050,21100,18100,
5,1,"MON","R",91.02,"END FREEWAY                                                                                                   ",,,,,,,
5,1,"MON","T",92.21,"CASTROVILLE, JCT. RTE. 183                                                                                    ",2050,21100,18100,3400,34500,29500,
5,1,"MON","T",92.29,"MILEPOST EQUATION   =93.70                                                                                    ",,,,,,,
5,1,"MON"," ",94.4,"MOLERA ROAD                                                                                                   ",3400,34500,29500,3650,37000,31500,
5,1,"MON"," ",96.1,"MOSS LANDING, DOLAN ROAD                                                                                      ",3650,37000,31500,4000,40000,34500,
5,1,"MON"," ",99.92,"JENSEN ROAD                                                                                                   ",4000,40000,34500,3600,39000,33500,
5,1,"MON","T",101.04,"SALINAS/PAJARO ROADS                                                                                          ",3600,39000,33500,2900,35500,30500,
5,1,"MON","R",101.44,"BEGIN FREEWAY                                                                                                 ",,,,,,,
5,1,"MON","R",102.03,"MONTEREY COUNTY                                                                                               ","      ","       ","       ","      ","       ","       ",
5,1,"SCR","R",0,"SANTA CRUZ COUNTY                                                                                             ","      ","       ","       ","      ","       ","       ",
5,1,"SCR","R",0.72,"WATSONVILLE, JCT. RTE. 129,   RIVERSIDE DRIVE                                                                 ",2750,41000,36000,3400,45000,38000,
5,1,"SCR","R",2.27,"WATSONVILLE, HARKINS   SLOUGH ROAD OVERCROSSING                                                               ",3400,45000,38000,2700,35500,30000,
5,1,"SCR","R",2.68,"WATSONVILLE, JCT. RTE. 152                                                                                    ",2700,35500,30000,4200,53000,48500,
5,1,"SCR","R",3.18,"WATSONVILLE, AIRPORT   BOULEVARD/ROACHE ROAD                                                                  ",4200,53000,48500,5000,64000,55000,
5,1,"SCR","R",4.07,"BUENA VISTA DRIVE   (SPRING VALLEY ROAD)                                                                      ",5000,64000,55000,5000,63000,55000,
5,1,"SCR","R",6.69,"MAR MONTE AVENUE   (LA SELVA BEACH ROAD)                                                                      ",5000,63000,55000,5100,64000,56000,
5,1,"SCR","R",7.66,"LARKIN VALLEY ROAD                                                                                            ",5100,64000,56000,5600,70000,62000,
5,1,"SCR","R",8.26,"MILEPOST EQUATION    =8.06                                                                                    ",,,,,,,
5,1,"SCR"," ",8.36,"FREEDOM BOULEVARD                                                                                             ",5600,70000,62000,6500,80000,73000,
5,1,"SCR"," ",9.15,"RIO DEL MAR BOULEVARD   INTERCHANGE                                                                           ",6500,80000,73000,6900,81000,77000,
5,1,"SCR"," ",10.54,"STATE PARK DRIVE                                                                                              ",6900,81000,77000,7500,87000,83000,
5,1,"SCR"," ",12.09,"CAPITOLA, PARK AVENUE                                                                                         ",7500,87000,83000,8800,104000,100000,
5,1,"SCR"," ",13.19,"CAPITOLA, BAY AVENUE                                                                                          ",8800,104000,100000,8800,108000,104000,
5,1,"SCR"," ",13.62,"CAPITOLA, 41ST AVENUE                                                                                         ",8800,108000,104000,8500,104000,101000,
5,1,"SCR"," ",14.86,"SOQUEL DRIVE                                                                                                  ",8500,104000,101000,9000,114000,110000,
5,1,"SCR"," ",15.82,"SANTA CRUZ, MORRISSEY BOULEVARD                                                                               ",9000,114000,110000,9200,112000,107000,
5,1,"SCR"," ",16.63,"SANTA CRUZ, EMELINE STREET                                                                                    ",9200,112000,107000,8900,109000,104000,
5,1,"SCR"," ",16.82,"SANTA CRUZ, JCT. RTE. 17 NORTH                                                                                ",8900,109000,104000,5100,70000,66000,
5,1,"SCR"," ",17.5,"END FREEWAY                                                                                                   ",,,,,,,
5,1,"SCR"," ",17.56,"SANTA CRUZ, JCT. RTE. 9,   NORTH RIVER STREET                                                                 ",5100,70000,66000,3950,50000,47500,
5,1,"SCR"," ",18.24,"SANTA CRUZ, MISSION STREET                                                                                    ",3950,50000,47500,4550,58000,55000,
5,1,"SCR"," ",19,"SANTA CRUZ, BAY STREET                                                                                        ",3000,38500,36000,2150,28500,26500,
5,1,"SCR"," ",19.69,"SANTA CRUZ, SWIFT STREET                                                                                      ",1650,22000,20500,2200,19200,15700,
5,1,"SCR"," ",20.61,"SANTA CRUZ NORTH CITY LIMITS                                                                                  ",1700,15400,12300,1700,15700,12300,
5,1,"SCR"," ",27.62,"BONNY DOON ROAD                                                                                               ",1800,13000,10000,1950,12200,9200,
5,1,"SCR"," ",30.44,"DAVENPORT LANDING/SWANTON ROADS                                                                               ",1650,10100,7500,1650,10400,7600,
5,1,"SCR"," ",37.45,"SANTA CRUZ-SAN MATEO   COUNTY LINE                                                                            ",770,7500,6100,"      ","       ","       ",
4,1," SM"," ",0,"SANTA CRUZ-SAN MATEO   COUNTY LINE                                                                            ","      ","       ","       ",770,7500,6100,
4,1," SM"," ",13.58,"PEBBLE BEACH ROAD (TO PESCADERO)                                                                              ",720,7600,6200,850,9300,7600,
4,1," SM"," ",18.19,"JCT. RTE. 84 EAST, LA HONDA ROAD                                                                              ",850,9300,7600,900,9000,7200,
4,1," SM"," ",20.98,"TUNITAS CREEK ROAD                                                                                            ",900,9000,7200,990,10400,8400,
4,1," SM"," ",23,"MEYN/VERDE ROADS                                                                                              ",990,10400,8400,980,11000,8900,
4,1," SM"," ",26.43,"HALF MOON BAY,   MIRAMONTES POINT ROAD                                                                        ",1050,12400,10100,1950,23700,19700,
