"District","Route","County","Prefix","Postmile","Description","Back Peak Hour","Back Peak Month","Back AADT","Ahead Peak Hour","Ahead Peak Month","Ahead AADT",
7,1," LA"," ",47.75,"MALIBU, CIVIC CENTER WAY                                                                                      ",3650,45500,40500,3000,37000,33000,
7,1," LA"," ",48.17,"MALIBU, MALIBU CANYON ROAD                                                                                    ",2850,35500,31500,3200,39500,35000,
7,1," LA"," ",54.02,"MALIBU, KANAN DUME ROAD                                                                                       ",2400,29500,26000,2400,29000,26000,
7,1," LA"," ",56.85,"MALIBU, TRANCAS CANYON ROAD                                                                                   ",1750,21400,19100,1600,19300,17300,
7,1," LA"," ",57.39,"MALIBU, LUNITA ROAD                                                                                           ",1600,19300,17300,1550,19000,17100,
7,1," LA"," ",59.9,"MALIBU, JCT. RTE. 23   NORTH; DECKER CANYON ROAD                                                              ",1300,15400,13900,1300,15400,14000,
7,1,"LA"," ",62.87,"LOS ANGELES COUNTY-VENTURA COUNTY                                                                             ",1150,13500,12300,1150,13500,12300,
7,1,"VEN"," ",9.87,"CALLEQUAS CREEK; BEGIN FREEWAY                                                                                ",1000,11800,10900,1000,11800,10900,
7,1,"VEN"," ",10.23,"LAS POSAS ROAD                                                                                                ",1000,11800,10900,1250,14200,13300,
7,1,"VEN"," ",11.59,"WOOD ROAD                                                                                                     ",1250,14200,13300,1650,18900,17700,
7,1,"VEN"," ",12.79,"HUENEME ROAD                                                                                                  ",1650,18900,17700,1850,20800,19600,
7,1,"VEN"," ",13.59,"NAUMAN ROAD                                                                                                   ",1850,20800,19600,1900,21000,20000,
7,1,"VEN"," ",14.54,"ETTING ROAD                                                                                                   ",1900,21000,20000,1950,21400,20500,
7,1,"VEN"," ",15.01,"OXNARD, PLEASANT VALLEY ROAD                                                                                  ",1950,21400,20500,1800,19200,18500,
7,1,"VEN"," ",15.93,"OXNARD, CHANNEL ISLAND BOULEVARD                                                                              ",1800,19200,18500,1400,15200,14700,
7,1,"VEN"," ",16.66,"END FREEWAY                                                                                                   ",1400,15200,14700,1400,15200,14700,
7,1,"VEN"," ",17.63,"OXNARD, SAVIERS ROAD                                                                                          ",2250,24700,24000,2600,29000,28500,
7,1,"VEN"," ",18.15,"OXNARD, JCT. RTE. 34 EAST,  FIFTH STREET                                                                     ",2700,31500,31000,2600,31500,31000,
7,1,"VEN"," ",19.62,"OXNARD, GONZALES ROAD                                                                                         ",3100,38500,38000,3800,42500,41500,
7,1,"VEN"," ",20.14,"OXNARD, JCT. RTE. 232   NORTHEAST; VINEYARD AVENUE                                                            ",3800,42500,41500,2400,27000,26000,
7,1,"VEN"," ",21.08,"OXNARD, JCT. RTE. 101,   VENTURA FREEWAY                                                                      ",2400,27000,26000,"      ","       ","       ",
7,1,"VEN"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
7,1,"VEN"," ",21.25,"SEGMENT VIA OLD ROUTE 101 AT  STATE BEACH                                                                     ","      ","       ","       ",480,4400,3900,
7,1,"VEN"," ",27.68,"SEACLIFF COLONY, JCT. RTE.   101, VENTURA FREEWAY                                                             ",480,4400,3900,170,1200,1000,
7,1,"VEN"," ",28.48,"SEACLIFF, MOBIL OIL PIER ROAD                                                                                 ",170,1200,1000,"      ","       ","       ",
5,1,"VEN"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
5,1," SB"," ","       ","SANTA BARBARA COUNTY                                                                                          ","      ","       ","       ","      ","       ","       ",
5,1," SB","R",0,"LAS CRUCES, JCT. RTE. 101                                                                                     ","      ","       ","       ",670,7000,6200,
5,1," SB","R",7.61,"MILEPOST EQUATION    =9.02                                                                                    ",,,,,,,
5,1," SB"," ",15.01,"JALAMA ROAD                                                                                                   ",670,7000,6200,770,7100,6500,
5,1," SB"," ",19.25,"LOMPOC, SOUTH JCT. RTE. 246                                                                                   ",940,8600,7900,1750,18600,17000,
5,1," SB"," ",20.57,"LOMPOC, NORTH JCT. RTE. 246                                                                                   ",1800,20800,19000,1250,15200,15000,
5,1," SB"," ",22.52,"LOMPOC, SANTA YNEZ RIVER BRIDGE                                                                               ",1900,23400,22800,1800,21500,21000,
5,1," SB","R",23.3,"LOMPOC-CASMALIA ROAD,   JUNCTION OLD ROUTE 1                                                                  ",1800,21500,21000,1550,19400,18500,
5,1," SB","R",26.69,"PINE CANYON ROAD                                                                                              ",1550,19400,18500,1350,15800,15500,
5,1," SB","M",29.89,"VANDENBERG AIR FORCE BASE,   MAIN GATE                                                                        ",1550,17600,17200,1650,16000,15500,
5,1," SB","M",36.19,"SOUTH JCT. RTE. 135;   VANDENBERG, NORTH                                                                      ",1600,14400,14300,1550,16500,16000,
5,1," SB","R",34.78,"ORCUTT, JCT. RTE. 135 NORTH                                                                                   ",1550,16500,16000,260,2300,2100,
5,1," SB","R",35.53,"CLARK AVENUE                                                                                                  ",260,2300,2100,380,3650,3200,
5,1," SB","R",36.5,"MILEPOST EQUATION  =40.02                                                                                     ",,,,,,,
5,1," SB"," ",41.81,"GUADALUPE, CASMALIA ROAD                                                                                      ",630,6000,5300,170,1950,1700,
5,1," SB"," ",49.2,"GUADALUPE, JCT. RTE. 166 EAST                                                                                 ",280,2200,1850,540,6700,5900,
5,1," SB"," ",50.41,"GUADALUPE NORTH CITY LIMITS                                                                                   ",560,5300,4700,560,5300,4700,
5,1," SB"," ",50.61,"SANTA BARBARA COUNTY                                                                                          ","      ","       ","       ","      ","       ","       ",
5,1,"SLO"," ",0,"SAN LUIS OBISPO COUNTY OSO FLACO UNDERPASS                                                                    ",580,5400,4800,460,5500,5100,
5,1,"SLO"," ",6.35,"ENTRANCE, UNION OIL COKING PLANT                                                                              ",460,5500,5100,550,5000,4400,
5,1,"SLO"," ",10.21,"MILEPOST EQUATION   =10.28                                                                                    ",,,,,,,
5,1,"SLO"," ",10.29,"ARROYO GRANDE ROAD                                                                                            ",550,5000,4400,990,9000,8000,
5,1,"SLO"," ",10.9,"HALCYON ROAD                                                                                                  ",990,9000,8000,1150,10800,9600,
5,1,"SLO","R",12.92,"MILEPOST EQUATION   =12.95                                                                                    ",,,,,,,
5,1,"SLO"," ",13,"ENTRANCE, PISMO BEACH STATE PARK                                                                              ",1150,10800,9600,1150,11200,9700,
5,1,"SLO"," ",14.1,"GROVER CITY, GRAND AVENUE                                                                                     ",1150,11200,9700,1600,16000,14000,
5,1,"SLO"," ",15.27,"PISMO BEACH, VILLA CREEK                                                                                      ",1150,14800,13400,1150,14800,13400,
5,1,"SLO"," ",16.73,"PISMO BEACH, SOUTH JCT. RTE. 101                                                                              ",1500,14800,13000,"      ","       ","       ",
5,1,"SLO"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
5,1,"SLO"," ",16.77,"SAN LUIS OBISPO,   NORTH JCT. RTE. 101                                                                        ","      ","       ","       ",2700,33500,32000,
5,1,"SLO"," ",17.34,"SAN LUIS OBISPO,   FOOTHILL BOULEVARD                                                                         ",2700,33500,32000,2800,33500,32000,
5,1,"SLO"," ",17.87,"HIGHLAND DRIVE (CHORRO STREET)                                                                                ",2800,33500,32000,2250,27000,24400,
5,1,"SLO"," ",19.71,"ENTRANCE, LOS PADRES MENS COLONY                                                                             '",2250,27000,24400,2250,27000,24000,
5,1,"SLO"," ",20.89,"ENTRANCE, CAMP SAN LUIS OBISPO                                                                                ",2250,27000,24000,2200,25500,23000,
5,1,"SLO"," ",22.65,"ENTRANCE, CUESTA COLLEGE                                                                                      ",2200,25500,23000,1850,22100,19700,
5,1,"SLO"," ",27.43,"BEGIN FREEWAY                                                                                                 ",,,,,,,
5,1,"SLO"," ",27.88,"MORRO BAY, BAYWOOD PARK ROAD                                                                                  ",1850,22100,19700,2100,26000,24000,
5,1,"SLO"," ",28.82,"MORRO BAY, SOUTH   MORRO BAY                                                                                  ",2100,26000,24000,1800,20700,19000,
5,1,"SLO"," ",29.62,"MORRO BAY, NORTH   MORRO BAY                                                                                  ",1800,20700,19000,1600,21500,19000,
5,1,"SLO"," ",30.14,"MORRO BAY, JCT. RTE. 41   NORTHEAST                                                                           ",1600,21500,19000,1550,17900,16200,
5,1,"SLO"," ",30.33,"END FREEWAY                                                                                                   ",,,,,,,
5,1,"SLO"," ",31.13,"MORRO BAY, SAN JACINTO STREET                                                                                 ",1550,17900,16200,1450,16900,15400,
5,1,"SLO"," ",31.97,"MORRO BAY, YERBA BUENA STREET                                                                                 ",1450,16900,15400,1400,15900,13000,
5,1,"SLO","R",34.72,"BEGIN FREEWAY                                                                                                 ",,,,,,,
5,1,"SLO","R",34.91,"OLD CREEK ROAD                                                                                                ",1400,15900,13000,930,9600,7900,
5,1,"SLO","R",35.96,"C STREET                                                                                                      ",930,9600,7900,990,9400,7200,
5,1,"SLO","R",36.5,"END FREEWAY                                                                                                   ",,,,,,,
5,1,"SLO","R",37.08,"MILEPOST EQUATION  =36.84                                                                                     ",,,,,,,
5,1,"SLO"," ",45.99,"JCT. RTE. 46                                                                                                  ",990,9400,7200,1250,12400,8400,
5,1,"SLO"," ",46.85,"CAMBRIA AIR FORCE BASE ROAD                                                                                   ",1250,12400,8400,1250,12400,8400,
5,1,"SLO"," ",48.26,"ARDATH DRIVE/MAIN STREET                                                                                      ",1250,12400,8400,670,9600,6500,
5,1,"SLO"," ",54.8,"PICO CREEK                                                                                                    ",1050,10200,6700,1100,10200,6800,
5,1,"SLO"," ",56.39,"ENTRANCE, HEARST CASTLE STATE PARK                                                                            ",1150,11300,7500,510,4600,2900,
5,1,"SLO"," ",58.9,"SAN SIMEON, NORTH                                                                                             ",510,4600,2900,550,4900,3100,
5,1,"SLO","R",61.44,"MILEPOST EQUATION  =61.48                                                                                     ",,,,,,,
5,1,"SLO"," ",71,"MILEPOST EQUATION  =71.11                                                                                     ",,,,,,,
5,1,"SLO"," ",71.34,"SAN CARPOJO CREEK                                                                                             ",380,3150,2100,380,3150,2100,
5,1,"SLO"," ",74.32,"SAN LUIS OBISPO COUNTY                                                                                        ","      ","       ","       ","      ","       ","       ",
5,1,"MON","L",28.04,"MILEPOST EQUATION  =28.01                                                                                     ",,,,,,,
5,1,"MON"," ",35.35,"ANDERSON CANYON BRIDGE                                                                                        ",410,3750,2300,410,3750,2300,
5,1,"MON"," ",46.6,"BIG SUR RIVER BRIDGE                                                                                          ",690,5800,3900,690,5800,3900,
5,1,"MON"," ",62.97,"GARRAPATA CREEK BRIDGE;   BIG SUR, NORTH                                                                      ",790,7300,6100,790,7300,6100,
5,1,"MON"," ",68.34,"CARMEL HIGHLANDS,   YANKEE POINT DRIVE NORTH                                                                  ",790,7300,6100,970,10900,8500,
5,1,"MON","L",71.2,"MILEPOST EQUATION  =71.17                                                                                     ",,,,,,,
5,1,"MON"," ",71.18,"SAN JOSE CREEK BRIDGE                                                                                         ",1500,14500,14000,1500,14500,14000,
5,1,"MON"," ",72.61,"RIO ROAD                                                                                                      ",1500,14500,14000,2950,28000,27000,
5,1,"MON"," ",72.92,"CARMEL VALLEY ROAD;   CARMEL, SOUTH                                                                           ",2950,28000,27000,5800,55000,53000,
5,1,"MON"," ",73.8,"CARMEL, OCEAN AVENUE/   STERLING WAY                                                                          ",5800,55000,53000,4850,60000,54000,
5,1,"MON"," ",75.14,"JCT. RTE. 68, CARMEL/   PACIFIC GROVE                                                                         ",4600,56000,54000,5200,60000,59000,
5,1,"MON","R",75.22,"BEGIN FREEWAY                                                                                                 ",,,,,,,
5,1,"MON","R",75.73,"MONTEREY SOUTH CITY LIMITS                                                                                    ",5200,60000,59000,7400,82000,79000,
5,1,"MON","R",75.75,"MONTEREY, MUNRAS AVENUE                                                                                       ",7400,82000,79000,4850,54000,52000,
5,1,"MON","R",77.38,"MONTEREY, AGUAJITO ROAD                                                                                       ",4850,54000,52000,4950,55000,53000,
5,1,"MON","R",78.12,"MONTEREY, JCT. RTE. 68 EAST                                                                                   ",4950,55000,53000,6800,74000,71000,
5,1,"MON","R",78.88,"MONTEREY, DEL MONTE AVENUE                                                                                    ",6800,74000,71000,6600,73000,71000,
5,1,"MON","R",79.36,"SEASIDE, JCT. RTE. 218,   HUMBOLT STREET                                                                      ",6600,73000,71000,6700,79000,74000,
5,1,"MON","R",80.68,"SAND CITY, ORD VILLAGE                                                                                        ",6700,79000,74000,9100,98000,92000,
5,1,"MON","R",82.89,"FORT ORD, MAIN ENTRANCE                                                                                       ",9100,98000,92000,8000,87000,80000,
5,1,"MON","R",84.48,"FORT ORD, NORTH ENTRANCE   (12TH STREET)                                                                      ",8000,87000,80000,8800,97000,87000,
5,1,"MON","R",85.14,"SOUTH MARINA                                                                                                  ",8800,97000,87000,4650,49000,44000,
5,1,"MON","R",86.48,"MARINA, RESERVATION ROAD                                                                                      ",4650,49000,44000,4650,49000,44000,
5,1,"MON","R",88.64,"NEPONSET ROAD   (DEL MONTE BOULEVARD)                                                                         ",4650,49000,44000,3600,47000,41000,
5,1,"MON","R",89.19,"SALINAS RIVER BRIDGE;   CASTROVILLE, SOUTH                                                                    ",3600,47000,41000,3600,44500,42000,
5,1,"MON","R",90.39,"MOLERA/NASHUA ROADS                                                                                           ",3600,44500,42000,4500,50000,43000,
5,1,"MON","R",90.98,"CASTROVILLE, JCT. RTE. 156 WEST                                                                               ",4500,50000,43000,2200,22700,19500,
5,1,"MON","R",91.02,"END FREEWAY                                                                                                   ",,,,,,,
5,1,"MON","T",92.21,"CASTROVILLE, JCT. RTE. 183                                                                                    ",2200,22700,19500,3650,37000,31500,
5,1,"MON","T",92.29,"MILEPOST EQUATION   =93.70                                                                                    ",,,,,,,
5,1,"MON"," ",94.4,"MOLERA ROAD                                                                                                   ",3650,37000,31500,3900,39000,33500,
5,1,"MON"," ",96.1,"MOSS LANDING, DOLAN ROAD                                                                                      ",3900,39000,33500,4250,42500,36500,
5,1,"MON"," ",99.92,"JENSEN ROAD                                                                                                   ",4250,42500,36500,3850,42000,36000,
5,1,"MON","T",101.04,"SALINAS/PAJARO ROADS                                                                                          ",3850,42000,36000,3100,38000,32500,
5,1,"MON","R",101.44,"BEGIN FREEWAY                                                                                                 ",,,,,,,
5,1,"MON","R",102.03,"MONTEREY COUNTY                                                                                               ","      ","       ","       ","      ","       ","       ",
5,1,"SCR","R",0,"SANTA CRUZ COUNTY                                                                                             ","      ","       ","       ","      ","       ","       ",
5,1,"SCR","R",0.72,"WATSONVILLE, JCT. RTE. 129,   RIVERSIDE DRIVE                                                                 ",2750,41000,36000,3400,45000,38000,
5,1,"SCR","R",2.27,"WATSONVILLE, HARKINS   SLOUGH ROAD OVERCROSSING                                                               ",3400,45000,38000,2700,35500,30000,
5,1,"SCR","R",2.68,"WATSONVILLE, JCT. RTE. 152                                                                                    ",2700,35500,30000,4200,53000,48500,
5,1,"SCR","R",3.18,"WATSONVILLE, AIRPORT   BOULEVARD/ROACHE ROAD                                                                  ",4200,53000,48500,5000,64000,55000,
5,1,"SCR","R",4.07,"BUENA VISTA DRIVE   (SPRING VALLEY ROAD)                                                                      ",5000,64000,55000,5000,63000,55000,
5,1,"SCR","R",6.69,"MAR MONTE AVENUE   (LA SELVA BEACH ROAD)                                                                      ",5000,63000,55000,5100,64000,56000,
5,1,"SCR","R",7.66,"LARKIN VALLEY ROAD                                                                                            ",5100,64000,56000,5600,70000,62000,
5,1,"SCR","R",8.26,"MILEPOST EQUATION    =8.06                                                                                    ",,,,,,,
5,1,"SCR"," ",8.36,"FREEDOM BOULEVARD                                                                                             ",5600,70000,62000,6500,80000,73000,
5,1,"SCR"," ",9.15,"RIO DEL MAR BOULEVARD   INTERCHANGE                                                                           ",6500,80000,73000,6900,81000,77000,
5,1,"SCR"," ",10.54,"STATE PARK DRIVE                                                                                              ",6900,81000,77000,7500,87000,83000,
5,1,"SCR"," ",12.09,"CAPITOLA, PARK AVENUE                                                                                         ",7500,87000,83000,8800,104000,100000,
5,1,"SCR"," ",13.19,"CAPITOLA, BAY AVENUE                                                                                          ",8800,104000,100000,8800,108000,104000,
5,1,"SCR"," ",13.62,"CAPITOLA, 41ST AVENUE                                                                                         ",8800,108000,104000,8500,104000,101000,
5,1,"SCR"," ",14.86,"SOQUEL AVENUE                                                                                                 ",8500,104000,101000,9000,114000,110000,
5,1,"SCR"," ",15.82,"SANTA CRUZ, MORRISSEY BOULEVARD                                                                               ",9000,114000,110000,9200,112000,107000,
5,1,"SCR"," ",16.63,"SANTA CRUZ, EMELINE STREET                                                                                    ",9200,112000,107000,8900,109000,104000,
5,1,"SCR"," ",16.82,"SANTA CRUZ, JCT. RTE. 17 NORTH                                                                                ",8900,109000,104000,5100,70000,66000,
5,1,"SCR"," ",17.5,"END FREEWAY                                                                                                   ",,,,,,,
5,1,"SCR"," ",17.56,"SANTA CRUZ, JCT. RTE. 9 NORTH                                                                                 ",5100,70000,66000,3950,50000,47500,
5,1,"SCR"," ",18.24,"SANTA CRUZ, MISSION STREET                                                                                    ",3950,50000,47500,4550,58000,55000,
5,1,"SCR"," ",19,"SANTA CRUZ, BAY STREET                                                                                        ",3000,38500,36000,2150,28500,26500,
5,1,"SCR"," ",19.69,"SANTA CRUZ, SWIFT STREET                                                                                      ",1650,22000,20500,2200,19200,15700,
5,1,"SCR"," ",20.61,"SANTA CRUZ NORTH CITY LIMITS                                                                                  ",1700,15400,12300,1700,15700,12300,
5,1,"SCR"," ",27.62,"BONNY DOON ROAD                                                                                               ",1800,13000,10000,1950,12200,9200,
5,1,"SCR"," ",30.44,"DAVENPORT, LANDING/SWANTON ROADS                                                                              ",1650,10100,7500,1550,9700,7100,
5,1,"SCR"," ",37.45,"SANTA CRUZ-SAN MATEO   COUNTY LINE                                                                            ",710,7900,5600,"      ","       ","       ",
4,1," SM"," ",0,"SANTA CRUZ-SAN MATEO   COUNTY LINE                                                                            ","      ","       ","       ",720,8000,5700,
4,1," SM"," ",13.58,"PEBBLE BEACH ROAD (TO PESCADERO)                                                                              ",910,10500,7400,820,9900,6800,
4,1," SM"," ",18.19,"JCT. RTE. 84 EAST, LA HONDA ROAD                                                                              ",820,9900,6800,780,9700,6600,
4,1," SM"," ",20.98,"TUNITAS CREEK ROAD                                                                                            ",780,9700,6600,960,13400,9500,
4,1," SM"," ",23,"MEYN/VERDE ROADS                                                                                              ",960,13400,9500,860,13800,10200,
