,,,"Post","Post",,"BackLeg"," ",,"AheadLeg",,,
7,1," LA"," ",19.52,"REDONDO BEACH, TORRANCE BOULEVARD                                                                             ",3100,37000,35500,3700,44000,42000,
7,1," LA"," ",21.34,"HERMOSA BEACH, PIER AVENUE/   14TH STREET                                                                     ",5500,63000,60000,4000,46000,44000,
7,1," LA"," ",21.92,"MANHATTAN BEACH, JCT. RTE.   91, ARTESIA BOULEVARD                                                            ",4100,50000,48000,4650,52000,50000,
7,1," LA"," ",22.9,"MANHATTAN BEACH,   MANHATTAN BEACH BOULEVARD                                                                  ",5800,64000,61000,4900,54000,52000,
7,1," LA"," ",23.92,"EL SEGUNDO, ROSECRANS AVENUE                                                                                  ",5400,59000,56000,5500,60000,57000,
7,1," LA"," ",24.91,"EL SEGUNDO, EL SEGUNDO BOULEVARD                                                                              ",4900,52000,50000,4500,48000,46000,
7,1," LA"," ",25.92,"LOS ANGELES, JCT. RTE. 105,   CENTURY FREEWAY                                                                 ",5300,55000,53000,6100,63000,60000,
7,1," LA"," ",26.87,"MILEPOST EQUATION   =26.90                                                                                    ",,,,,,,
7,1," LA"," ",26.91,"LOS ANGELES INTERNATIONAL   AIRPORT, CENTURY BOULEVARD                                                        ",6100,63000,60000,5800,60000,57000,
7,1," LA"," ",27.36,"LOS ANGELES INTERNATIONAL   AIRPORT VIA LINCOLN BOULEVARD                                                     ",5800,60000,57000,2950,30500,29000,
7,1," LA"," ",29.08,"LOS ANGELES, JCT. RTE 42,   MANCHESTER AVENUE                                                                 ",3350,34500,33000,4400,47000,44500,
7,1," LA"," ",30.16,"JEFFERSON BOULEVARD                                                                                           ",4400,47000,44500,4550,50000,47500,
7,1," LA"," ",31.28,"LOS ANGELES, JCT. RTE. 90,   MARINA FREEWAY                                                                   ",4000,47500,45500,4200,52000,50000,
7,1," LA"," ",31.78,"LOS ANGELES, WASHINGTON BOULEVARD                                                                             ",3400,44500,43000,3250,44000,43000,
7,1," LA"," ",32.16,"LOS ANGELES, JCT. RTE.   187, VENICE BOULEVARD                                                                ",3250,44000,43000,3150,45500,44500,
7,1," LA"," ",34.33,"SANTA MONICA, PICO BOULEVARD                                                                                  ",3450,49500,48500,3250,45500,43500,
7,1," LA","R",34.58,"SANTA MONICA, JCT. RTE. 2   NORTH, JCT. RTE. 10 EAST;  CONTINUE VIA SANTA MONICA FREEWAY                      ",3250,45500,43500,"      ","       ","       ",
7,1," LA"," ","       ","  (BREAK IN ROUTE)                                                                                            ","      ","       ","       ","      ","       ","       ",
7,1," LA","R",34.98,"MILEPOST EQUATION 35.01                                                                                       ","      ","       ","       ",5000,58000,54000,
7,1," LA"," ",35.18,"SANTA MONICA, JCT. RTE. 187                                                                                   ",5000,58000,54000,4950,59000,56000,
7,1," LA"," ",35.24,"END FREEWAY                                                                                                   ",,,,,,,
7,1," LA"," ",36.11,"SANTA MONICA, CALIFORNIA   INCLINE INTERCHANGE                                                                ",4950,59000,56000,5900,75000,71000,
7,1," LA"," ",37.05,"LOS ANGELES, CHAUTAUQUA BOULEVARD                                                                             ",5900,75000,71000,5800,71000,67000,
7,1," LA"," ",39.33,"PACIFIC PALISADES,   SUNSET BOULEVARD                                                                         ",5600,66000,62000,5600,65000,60000,
7,1," LA"," ",40.77,"JCT. RTE. 27, TOPANGA   CANYON BOULEVARD                                                                      ",5300,59000,55000,4300,47500,43500,
7,1," LA"," ",44.12,"LAS FLORES CANYON ROAD                                                                                        ",3800,42500,39000,3650,40500,37000,
7,1," LA"," ",47.09,"MALIBU, CROSS CREEK ROAD                                                                                      ",3850,42500,39000,3700,40500,37000,
7,1," LA"," ",47.75,"MALIBU, CIVIC CENTER WAY                                                                                      ",3700,40500,37000,3050,33000,30000,
7,1," LA"," ",48.17,"MALIBU, MALIBU CANYON ROAD                                                                                    ",3000,32000,29000,3750,36500,33000,
7,1," LA"," ",54.02,"MALIBU, KANAN DUME ROAD                                                                                       ",2300,24000,21500,2800,28000,25000,
7,1," LA"," ",56.85,"MALIBU, TRANCAS CANYON ROAD                                                                                   ",2000,20100,17800,1850,18200,16000,
7,1," LA"," ",57.39,"MALIBU, LUNITA ROAD                                                                                           ",1850,18200,16000,1700,16400,14300,
7,1," LA"," ",59.9,"MALIBU, JCT. RTE. 23,   DECKER CANYON ROAD                                                                    ",1850,17600,15300,1800,17100,14800,
7,1,"VEN"," ",62.87,"LOS ANGELES COUNTY-VENTURA COUNTY                                                                             ",1200,11000,10700,1200,11000,10700,
7,1,"VEN"," ",9.87,"BEGIN FREEWAY AT CALLEQUAS CREEK                                                                              ",1350,10800,10400,1350,10800,10400,
7,1,"VEN"," ",10.23,"LAS POSAS ROAD INTERCHANGE                                                                                    ",1350,10800,10400,1300,13100,12600,
7,1,"VEN"," ",11.59,"WOOD ROAD INTERCHANGE                                                                                         ",1300,13100,12600,1700,17400,16700,
7,1,"VEN"," ",12.79,"HUENEME ROAD INTERCHANGE                                                                                      ",1700,17400,16700,1850,19300,18500,
7,1,"VEN"," ",13.59,"NAUMAN ROAD INTERCHANGE                                                                                       ",1850,19300,18500,1900,19700,18800,
7,1,"VEN"," ",14.54,"ETTING ROAD CONNECTIONS                                                                                       ",1900,19700,18800,1900,20200,19300,
7,1,"VEN"," ",15.01,"OXNARD, PLEASANT VALLEY   ROAD INTERCHANGE                                                                    ",1900,20200,19300,1650,17900,17100,
7,1,"VEN"," ",15.93,"OXNARD, CHANNEL ISLAND   BOULEVARD INTERCHANGE                                                                ",1650,17900,17100,1250,13700,13000,
7,1,"VEN"," ",16.66,"END FREEWAY                                                                                                   ",1250,13700,13000,1250,13700,13000,
7,1,"VEN"," ",17.63,"OXNARD, SAVIERS ROAD                                                                                          ",2550,28500,27000,3100,34500,33000,
7,1,"VEN"," ",18.15,"OXNARD, JCT. RTE. 34 EAST,   FIFTH STREET                                                                     ",3400,38500,36500,3250,37000,35000,
7,1,"VEN"," ",19.62,"OXNARD, GONZALES ROAD                                                                                         ",3550,40500,39000,3800,42500,40500,
7,1,"VEN"," ",20.14,"OXNARD, JCT. RTE. 232,   VINEYARD AVENUE                                                                      ",3800,42500,40500,2850,28000,27000,
7,1,"VEN"," ",21.08,"OXNARD, JCT. RTE. 101,   VENTURA FREEWAY                                                                      ",2850,28000,27000,"      ","       ","       ",
7,1,"VEN"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
7,1,"VEN"," ",21.25,"SEGMENT VIA OLD ROUTE 101 AT  STATE BEACH                                                                     ","      ","       ","       ",550,3950,3300,
7,1,"VEN"," ",27.68,"SEACLIFF COLONY, JCT. RTE.   101, VENTURA FREEWAY                                                             ",550,3950,3300,200,1450,1200,
7,1,"VEN"," ",28.48,"SEACLIFF, MOBIL OIL PIER                                                                                      ",200,1450,1200,"      ","       ","       ",
5,1,"VEN"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
5,1," SB"," ","       ","SANTA BARBARA COUNTY                                                                                          ","      ","       ","       ","      ","       ","       ",
5,1," SB","R",0,"LAS CRUCES, JCT. RTE. 101                                                                                     ","      ","       ","       ",630,6600,6100,
5,1," SB","R",7.61,"MILEPOST EQUATION    =9.02                                                                                    ",,,,,,,
5,1," SB"," ",15.01,"JALAMA ROAD                                                                                                   ",630,6600,6100,760,6900,6400,
5,1," SB"," ",19.25,"LOMPOC, SOUTH JCT. RTE. 246                                                                                   ",930,8400,7800,1650,17100,15600,
5,1," SB"," ",20.57,"LOMPOC, NORTH JCT. RTE. 246                                                                                   ",1700,19400,17700,1200,14600,14300,
5,1," SB"," ",22.52,"LOMPOC, SANTA YNEZ RIVER BRIDGE                                                                               ",1800,22200,21700,1800,22000,21400,
5,1," SB","R",23.3,"LOMPOC-CASMALIA ROAD,   JUNCTION OLD ROUTE 1                                                                  ",1800,22000,21400,1600,19400,18800,
5,1," SB","R",26.69,"PINE CANYON ROAD                                                                                              ",1600,19400,18800,1350,16000,15700,
5,1," SB","M",29.89,"VANDENBERG AIR FORCE BASE,   MAIN GATE                                                                        ",1550,17800,17100,1650,15300,14800,
5,1," SB","M",36.19,"SOUTH JCT. RTE. 135;   VANDENBERG, NORTH                                                                      ",1500,14500,13600,1550,16300,15100,
5,1," SB","R",34.78,"ORCUTT, JCT. RTE. 135 NORTH                                                                                   ",1550,16300,15100,230,2050,1900,
5,1," SB","R",35.53,"CLARK AVENUE                                                                                                  ",230,2050,1900,400,3900,3400,
5,1," SB","R",36.5,"MILEPOST EQUATION  =40.02                                                                                     ",,,,,,,
5,1," SB"," ",41.81,"GUADALUPE, CASMALIA ROAD                                                                                      ",670,6500,5700,190,2200,2050,
5,1," SB"," ",49.2,"GUADALUPE, JCT. RTE. 166 EAST                                                                                 ",330,2650,2200,550,6600,6100,
5,1," SB"," ",50.41,"GUADALUPE NORTH CITY LIMITS                                                                                   ",590,5500,4900,590,5500,4900,
5,1," SB"," ",50.61,"SANTA BARBARA COUNTY                                                                                          ","      ","       ","       ","      ","       ","       ",
5,1,"SLO"," ",0,"SAN LUIS OBISPO COUNTY OSO FLACO UNDERPASS                                                                    ",530,5000,4400,430,4950,4600,
5,1,"SLO"," ",6.35,"ENTRANCE, UNION OIL COKING PLANT                                                                              ",430,4950,4600,490,4450,3900,
5,1,"SLO"," ",10.21,"MILEPOST EQUATION   =10.28                                                                                    ",,,,,,,
5,1,"SLO"," ",10.29,"ARROYO GRANDE ROAD                                                                                            ",490,4450,3900,800,7300,6500,
5,1,"SLO"," ",10.9,"HALCYON ROAD                                                                                                  ",800,7300,6500,880,8500,7500,
5,1,"SLO","R",12.92,"MILEPOST EQUATION   =12.95                                                                                    ",,,,,,,
5,1,"SLO"," ",13,"ENTRANCE, PISMO BEACH STATE PARK                                                                              ",880,8500,7500,900,8800,7600,
5,1,"SLO"," ",14.1,"GROVER CITY, GRAND AVENUE                                                                                     ",900,8800,7600,1650,16500,14500,
5,1,"SLO"," ",15.27,"PISMO BEACH, VILLA CREEK                                                                                      ",1300,16800,14000,1300,16800,14000,
5,1,"SLO"," ",16.73,"PISMO BEACH, SOUTH JCT. RTE. 101                                                                              ",1550,15400,13500,"      ","       ","       ",
5,1,"SLO"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
5,1,"SLO"," ",16.77,"SAN LUIS OBISPO,   NORTH JCT. RTE. 101                                                                        ","      ","       ","       ",2550,31500,30500,
5,1,"SLO"," ",17.34,"SAN LUIS OBISPO,   FOOTHILL BOULEVARD                                                                         ",2550,31500,30500,2700,32500,31000,
5,1,"SLO"," ",17.87,"HIGHLAND DRIVE (CHORRO STREET)                                                                                ",2700,32500,31000,2100,25500,23000,
5,1,"SLO"," ",19.71,"ENTRANCE, LOS PADRES MENS COLONY                                                                             '",2100,25500,23000,2150,25500,23000,
5,1,"SLO"," ",20.89,"ENTRANCE, CAMP SAN LUIS OBISPO                                                                                ",2150,25500,23000,2150,24300,22000,
5,1,"SLO"," ",22.65,"ENTRANCE, CUESTA COLLEGE                                                                                      ",2150,24300,22000,1750,20800,18500,
5,1,"SLO"," ",27.43,"BEGIN FREEWAY                                                                                                 ",,,,,,,
5,1,"SLO"," ",27.88,"MORRO BAY, BAYWOOD   PARK ROAD INTERCHANGE                                                                    ",1750,20800,18500,2600,23600,21500,
5,1,"SLO"," ",28.82,"MORRO BAY,   SOUTH MORRO BAY INTERCHANGE                                                                      ",2600,23600,21500,1650,19200,17600,
5,1,"SLO"," ",29.62,"MORRO BAY,   NORTH MORRO BAY INTERCHANGE                                                                      ",1650,19200,17600,2550,25500,23000,
5,1,"SLO"," ",30.14,"MORRO BAY, JCT. RTE. 41   NORTHEAST                                                                           ",2550,25500,23000,1850,21600,19600,
5,1,"SLO"," ",30.33,"END FREEWAY                                                                                                   ",,,,,,,
5,1,"SLO"," ",31.13,"MORRO BAY, SAN JACINTO STREET                                                                                 ",1850,21600,19600,1850,22400,19500,
5,1,"SLO"," ",31.97,"MORRO BAY, YERBA BUENA STREET                                                                                 ",1850,22400,19500,1700,19600,16000,
5,1,"SLO","R",34.72,"BEGIN FREEWAY                                                                                                 ",,,,,,,
5,1,"SLO","R",34.91,"OLD CREEK ROAD INTERCHANGE                                                                                    ",1700,19600,16000,1150,12000,9900,
5,1,"SLO","R",35.96,"C STREET INTERCHANGE                                                                                          ",1150,12000,9900,1250,11800,9000,
5,1,"SLO","R",36.5,"END FREEWAY                                                                                                   ",,,,,,,
5,1,"SLO","R",37.08,"MILEPOST EQUATION  =36.84                                                                                     ",,,,,,,
5,1,"SLO"," ",45.99,"JCT. RTE. 46 EAST                                                                                             ",1250,11800,9000,1300,12600,8500,
5,1,"SLO"," ",46.85,"CAMBRIA AIR FORCE BASE ROAD                                                                                   ",1300,12600,8500,1300,12600,8500,
5,1,"SLO"," ",48.26,"ARDATH DRIVE/MAIN STREET                                                                                      ",1300,12600,8500,710,8600,6400,
5,1,"SLO"," ",54.8,"PICO CREEK                                                                                                    ",1000,10000,6600,1050,10100,6700,
5,1,"SLO"," ",56.39,"ENTRANCE, HEARST CASTLE STATE PARK                                                                            ",1100,11100,7400,510,4600,2900,
5,1,"SLO"," ",58.9,"SAN SIMEON, NORTH                                                                                             ",510,4600,2900,530,4750,3000,
5,1,"SLO","R",61.44,"MILEPOST EQUATION  =61.48                                                                                     ",,,,,,,
5,1,"SLO"," ",71,"MILEPOST EQUATION  =71.11                                                                                     ",,,,,,,
5,1,"SLO"," ",71.34,"SAN CARPOJO CREEK                                                                                             ",370,3700,2900,370,3700,2900,
5,1,"SLO"," ",74.32,"SAN LUIS OBISPO COUNTY                                                                                        ","      ","       ","       ","      ","       ","       ",
5,1,"MON","L",28.04,"MILEPOST EQUATION  =28.01                                                                                     ",,,,,,,
5,1,"MON"," ",35.35,"ANDERSON CANYON BRIDGE                                                                                        ",410,3750,2300,410,3750,2300,
5,1,"MON"," ",46.6,"BIG SUR RIVER BRIDGE                                                                                          ",680,5600,3800,680,5600,3800,
5,1,"MON"," ",62.97,"GARRAPATA CREEK BRIDGE;   BIG SUR, NORTH                                                                      ",650,7200,5100,650,7200,5100,
5,1,"MON"," ",68.34,"CARMEL HIGHLANDS,   YANKEE POINT DRIVE NORTH                                                                  ",650,7200,5100,810,9100,7100,
5,1,"MON","L",71.2,"MILEPOST EQUATION  =71.17                                                                                     ",,,,,,,
5,1,"MON"," ",71.18,"SAN JOSE CREEK BRIDGE                                                                                         ",1300,12400,12000,1300,12400,12000,
5,1,"MON"," ",72.61,"RIO ROAD                                                                                                      ",1300,12400,12000,2800,26500,25500,
5,1,"MON"," ",72.92,"CARMEL VALLEY ROAD;   CARMEL, SOUTH                                                                           ",2800,26500,25500,5500,52000,50000,
5,1,"MON"," ",73.8,"CARMEL, OCEAN AVENUE/   STERLING WAY                                                                          ",5500,52000,50000,4600,57000,54000,
5,1,"MON"," ",75.14,"JCT. RTE. 68 NORTH, CARMEL/   PACIFIC GROVE INTERCHANGE                                                       ",4600,57000,54000,4900,63000,58000,
5,1,"MON","R",75.22,"BEGIN FREEWAY                                                                                                 ",,,,,,,
5,1,"MON","R",75.73,"MONTEREY SOUTH CITY LIMITS                                                                                    ",4900,63000,58000,7300,81000,78000,
5,1,"MON","R",75.75,"MONTEREY,   MUNRAS AVENUE INTERCHANGE                                                                         ",7300,81000,78000,4750,53000,51000,
5,1,"MON","R",77.38,"MONTEREY,   AGUAJITO ROAD INTERCHANGE                                                                         ",4750,53000,51000,9300,103000,99000,
5,1,"MON","R",78.12,"MONTEREY, JCT. RTE. 68 EAST                                                                                   ",9300,103000,99000,5700,61000,59000,
5,1,"MON","R",78.88,"MONTEREY, DEL MONTE   AVENUE INTERCHANGE                                                                      ",5700,61000,59000,5500,69000,63000,
5,1,"MON","R",79.36,"SEASIDE, JCT. RTE. 218,   HUMBOLT STREET INTERCHANGE                                                          ",5500,69000,63000,5600,67000,62000,
5,1,"MON","R",80.68,"SAND CITY, ORD VILLAGE INTERCHANGE                                                                            ",5600,67000,62000,7800,84000,79000,
5,1,"MON","R",82.89,"FORT ORD,   MAIN ENTRANCE INTERCHANGE                                                                         ",7800,84000,79000,6800,74000,68000,
5,1,"MON","R",84.48,"FORT ORD, NORTH ENTRANCE   (12TH STREET)                                                                      ",6800,74000,68000,7600,83000,75000,
5,1,"MON","R",85.14,"SOUTH MARINA INTERCHANGE                                                                                      ",7600,83000,75000,4000,42500,38000,
5,1,"MON","R",86.48,"MARINA, RESERVATION ROAD                                                                                      ",4000,42500,38000,4000,42500,38000,
5,1,"MON","R",88.64,"NEPONSET ROAD INTERCHANGE   (DEL MONTE BOULEVARD)                                                             ",4000,42500,38000,3550,44500,39000,
5,1,"MON","R",89.19,"SALINAS RIVER BRIDGE;   CASTROVILLE, SOUTH                                                                    ",3550,44500,39000,3550,44500,39000,
5,1,"MON","R",90.39,"MOLERA/NASHUA ROADS INTERCHANGE                                                                               ",3550,44500,39000,4150,47000,40000,
5,1,"MON","R",90.98,"CASTROVILLE, JCT. RTE. 156 WEST                                                                               ",4150,47000,40000,2100,21600,18500,
5,1,"MON","R",91.02,"END FREEWAY                                                                                                   ",,,,,,,
5,1,"MON","T",92.21,"CASTROVILLE, JCT. RTE. 183                                                                                    ",2100,21600,18500,3450,35000,30000,
5,1,"MON","T",92.29,"MILEPOST EQUATION   =93.70                                                                                    ",,,,,,,
5,1,"MON"," ",94.4,"MOLERA ROAD                                                                                                   ",3450,35000,30000,3700,37500,32000,
5,1,"MON"," ",96.1,"MOSS LANDING, DOLAN ROAD                                                                                      ",3700,37500,32000,4300,43000,37000,
5,1,"MON"," ",99.92,"JENSEN ROAD                                                                                                   ",4300,43000,37000,3650,40000,34000,
5,1,"MON","T",101.04,"SALINAS/PAJARO ROADS                                                                                          ",3650,40000,34000,2900,35500,30500,
5,1,"MON","R",101.44,"BEGIN FREEWAY                                                                                                 ",,,,,,,
5,1,"MON","R",102.03,"MONTEREY COUNTY                                                                                               ","      ","       ","       ","      ","       ","       ",
5,1,"SCR","R",0,"SANTA CRUZ COUNTY                                                                                             ","      ","       ","       ","      ","       ","       ",
5,1,"SCR","R",0.72,"WATSONVILLE, JCT. RTE. 129,   RIVERSIDE DRIVE INTERCHANGE                                                     ",2900,35500,30500,3050,40500,34000,
5,1,"SCR","R",2.27,"WATSONVILLE, HARKINS   SLOUGH ROAD OVERCROSSING                                                               ",3050,40500,34000,2450,32000,27000,
5,1,"SCR","R",2.68,"WATSONVILLE, JCT. RTE. 152                                                                                    ",2450,32000,27000,4050,49000,44000,
5,1,"SCR","R",3.18,"WATSONVILLE, AIRPORT   BOULEVARD/ROACHE ROAD                                                                  ",4050,49000,44000,4600,58000,50000,
5,1,"SCR","R",4.07,"BUENA VISTA DRIVE   (SPRING VALLEY ROAD)                                                                      ",4600,58000,50000,4500,57000,49500,
5,1,"SCR","R",6.69,"MAR MONTE AVENUE   (LA SELVA BEACH ROAD)                                                                      ",4500,57000,49500,4500,57000,50000,
5,1,"SCR","R",7.66,"LARKIN VALLEY ROAD                                                                                            ",4500,57000,50000,5000,63000,56000,
5,1,"SCR","R",8.26,"MILEPOST EQUATION    =8.06                                                                                    ",,,,,,,
5,1,"SCR"," ",8.36,"FREEDOM BOULEVARD INTERCHANGE                                                                                 ",5000,63000,56000,6000,74000,67000,
5,1,"SCR"," ",9.15,"RIO DEL MAR BOULEVARD   INTERCHANGE                                                                           ",6000,74000,67000,6300,74000,70000,
5,1,"SCR"," ",10.54,"STATE PARK DRIVE INTERCHANGE                                                                                  ",6300,74000,70000,6900,80000,76000,
5,1,"SCR"," ",12.09,"CAPITOLA, PARK AVENUE INTERCHANGE                                                                             ",6900,80000,76000,8400,94000,90000,
5,1,"SCR"," ",13.19,"CAPITOLA, BAY AVENUE INTERCHANGE                                                                              ",8400,94000,90000,8000,98000,94000,
5,1,"SCR"," ",13.62,"CAPITOLA, 41ST AVENUE INTERCHANGE                                                                             ",8000,98000,94000,7700,95000,92000,
5,1,"SCR"," ",14.86,"SOQUEL AVENUE INTERCHANGE                                                                                     ",7700,95000,92000,8200,104000,100000,
5,1,"SCR"," ",15.82,"SANTA CRUZ, MORRISSEY   BOULEVARD INTERCHANGE                                                                 ",8200,104000,100000,8300,101000,97000,
5,1,"SCR"," ",16.63,"SANTA CRUZ,   EMELINE STREET CONNECTION                                                                       ",8300,101000,97000,8200,100000,95000,
5,1,"SCR"," ",16.82,"SANTA CRUZ, JCT. RTE. 17 NORTH                                                                                ",8200,100000,95000,4900,63000,59000,
5,1,"SCR"," ",17.5,"END FREEWAY                                                                                                   ",,,,,,,
5,1,"SCR"," ",17.56,"SANTA CRUZ, JCT. RTE. 9 NORTH                                                                                 ",4900,63000,59000,3600,45500,43000,
5,1,"SCR"," ",18.24,"SANTA CRUZ, MISSION STREET                                                                                    ",3600,45500,43000,4050,52000,49000,
5,1,"SCR"," ",19,"SANTA CRUZ, BAY STREET                                                                                        ",2700,34500,32500,2100,27500,25500,
5,1,"SCR"," ",19.69,"SANTA CRUZ, SWIFT STREET                                                                                      ",1700,23800,20300,2200,19100,15600,
5,1,"SCR"," ",20.61,"SANTA CRUZ NORTH CITY LIMITS                                                                                  ",1700,15200,12200,1700,15500,12200,
5,1,"SCR"," ",27.62,"BONNY DOON ROAD                                                                                               ",1800,12800,9900,1900,12000,9100,
5,1,"SCR"," ",30.44,"DAVENPORT, NORTH (SWANTON ROAD)                                                                               ",1650,10100,7500,1550,9600,7000,
5,1,"SCR"," ",37.45,"SANTA CRUZ-SAN MATEO   COUNTY LINE                                                                            ",830,7600,5200,"      ","       ","       ",
4,1," SM"," ",0,"SANTA CRUZ-SAN MATEO   COUNTY LINE                                                                            ","      ","       ","       ",830,7600,5200,
4,1," SM"," ",13.58,"PEBBLE BEACH ROAD (TO PESCADERO)                                                                              ",640,9900,6400,610,10200,6800,
4,1," SM"," ",18.19,"JCT. RTE. 84 EAST, LA HONDA ROAD                                                                              ",610,10200,6800,480,9600,6200,
