"DISTRICT","ROUTE","COUNTY","Postmile Prefix","POSTMILE","DESCRIPTION","BACK PEAK HR","BACK PEAK MONTH","BACK AADT","AHEAD PEAK HR","AHEAD PEAK MONTH","AHEAD AADT",
7,1," LA"," ",25.92,"LOS ANGELES INTERNATIONAL   AIRPORT, IMPERIAL HIGHWAY                                                         ",5600,59000,56000,6400,66000,63000,
7,1," LA"," ",26.87,"MILEPOST EQUATION   =26.90                                                                                    ",,,,,,,
7,1," LA"," ",27.01,"LOS ANGELES INTERNATIONAL   AIRPORT, CENTURY BOULEVARD                                                        ",6400,66000,63000,6300,65000,62000,
7,1," LA"," ",27.36,"LOS ANGELES INTERNATIONAL   AIRPORT, VIA LINCOLN BOULEVARD                                                    ",6300,65000,62000,3000,31000,29500,
7,1," LA"," ",29.08,"WESTCHESTER, JCT. RTE. 105,   MANCHESTER AVENUE                                                               ",3350,34500,33000,4400,45500,43500,
7,1," LA"," ",30.16,"JEFFERSON BOULEVARD                                                                                           ",4400,45500,43500,4550,50000,47500,
7,1," LA"," ",30.47,"CULVER BOULEVARD                                                                                              ",4550,50000,47500,4150,47000,45000,
7,1," LA"," ",31.29,"MARINA DEL REY, JCT. RTE.   90, MARINA FREEWAY                                                                ",4050,48000,46000,4250,53000,51000,
7,1," LA"," ",31.78,"LOS ANGELES,   WASHINGTON BOULEVARD                                                                           ",3500,45500,44000,3300,45500,44000,
7,1," LA"," ",32.16,"LOS ANGELES, JCT. RTE.   187, VENICE BOULEVARD                                                                ",3300,45500,44000,3250,47000,46000,
7,1," LA"," ",34.33,"SANTA MONICA,   PICO BOULEVARD                                                                                ",3550,51000,50000,3350,46500,45000,
7,1," LA","R",34.58,"SANTA MONICA, JCT. RTE. 2   NORTH AND RTE. 10 EAST,  CONTINUE VIA SANTA MONICA FREEWAY                        ",3350,46500,45000,"      ","       ","       ",
7,1," LA"," ","       ","  (BREAK IN ROUTE)                                                                                            ","      ","       ","       ","      ","       ","       ",
7,1," LA","R",34.98,"MILEPOST EQUATION 35.01                                                                                       ","      ","       ","       ",6600,62000,57000,
7,1," LA"," ",35.18,"SANTA MONICA,   JCT. RTE. 187                                                                                 ",6600,62000,57000,5300,63000,60000,
7,1," LA"," ",35.24,"END FREEWAY                                                                                                   ",,,,,,,
7,1," LA"," ",36.11,"SANTA MONICA, CALIFORNIA   AVENUE INCLINE                                                                     ",5300,63000,60000,6200,78000,74000,
7,1," LA"," ",37.05,"LOS ANGELES,   CHAUTAUQUA BOULEVARD                                                                           ",6200,78000,74000,6100,74000,70000,
7,1," LA"," ",39.33,"PACIFIC PALISADES,   SUNSET BOULEVARD                                                                         ",5700,69000,64000,5800,67000,62000,
7,1," LA"," ",40.77,"JCT. RTE. 27,   TOPANGA CANYON ROAD                                                                           ",5400,60000,56000,4200,47500,43500,
7,1," LA"," ",44.12,"LAS FLORES CANYON ROAD                                                                                        ",4200,47000,43000,4350,48000,44000,
7,1," LA"," ",47.09,"MALIBU, CROSS CREEK ROAD                                                                                      ",4750,53000,48000,4450,49000,44500,
7,1," LA"," ",47.75,"MALIBU, CIVIC CENTER WAY                                                                                      ",4450,49000,44500,3250,35000,32000,
7,1," LA"," ",48.17,"MALIBU CANYON ROAD/   COUNTY ROAD N-1                                                                         ",3200,34000,31000,3450,36500,33000,
7,1," LA"," ",54.02,"KANAN DUME ROAD                                                                                               ",2700,28000,25000,3200,32000,28500,
7,1," LA"," ",56.85,"TRANCAS CANYON ROAD                                                                                           ",2350,23700,21000,1950,19100,16800,
7,1," LA"," ",57.39,"LUNITA ROAD                                                                                                   ",1950,19100,16800,1950,18700,16300,
7,1," LA"," ",59.9,"ENCINAL BEACH, JCT. RTE.   23, DECKER CANYON ROAD                                                             ",1850,17700,15400,1750,16900,14600,
7,1,"VEN"," ",62.87,"LOS ANGELES COUNTY-VENTURA COUNTY                                                                             ",1650,13800,13400,1650,13800,13400,
7,1,"VEN"," ",9.87,"BEGIN FREEWAY AT CALLEQUAS CREEK                                                                              ",1300,12500,12000,1300,12500,12000,
7,1,"VEN"," ",10.23,"LAS POSAS ROAD INTERCHANGE                                                                                    ",1300,12500,12000,1300,12900,12400,
7,1,"VEN"," ",11.59,"WOOD ROAD INTERCHANGE                                                                                         ",1300,12900,12400,1850,18700,17900,
7,1,"VEN"," ",12.79,"HUENEME ROAD INTERCHANGE                                                                                      ",1850,18700,17900,1950,20400,19500,
7,1,"VEN"," ",13.59,"NAUMAN ROAD INTERCHANGE                                                                                       ",1950,20400,19500,2000,20800,19900,
7,1,"VEN"," ",14.54,"ETTING ROAD CONNECTIONS                                                                                       ",2000,20800,19900,1850,20000,19100,
7,1,"VEN"," ",15.01,"OXNARD, PLEASANT VALLEY   ROAD INTERCHANGE                                                                    ",1850,20000,19100,1850,20000,19100,
7,1,"VEN"," ",15.93,"OXNARD, CHANNEL ISLANDS   BOULEVARD INTERCHANGE                                                               ",1850,20000,19100,1700,18900,18000,
7,1,"VEN"," ",16.66,"END FREEWAY                                                                                                   ",1700,18900,18000,1700,18900,18000,
7,1,"VEN"," ",17.66,"OXNARD, SAVIERS ROAD                                                                                          ",3100,34500,33000,3100,34500,33000,
7,1,"VEN"," ",18.15,"OXNARD, JCT. RTE. 34 EAST,   FIFTH STREET                                                                     ",3000,33500,32000,2800,31500,30000,
7,1,"VEN"," ",19.62,"OXNARD, GONZALES ROAD                                                                                         ",3650,42500,40500,3850,42500,41000,
7,1,"VEN"," ",20.14,"OXNARD, JCT. RTE. 232,   VINEYARD AVENUE                                                                      ",3850,42500,41000,2950,30000,29500,
7,1,"VEN"," ",21.08,"OXNARD, JCT. RTE. 101,   VENTURA FREEWAY                                                                      ",2950,30000,29500,"      ","       ","       ",
7,1,"VEN"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
7,1,"VEN"," ",21.25,"SEGMENT VIA OLD ROUTE 101 AT  STATE BEACH                                                                     ","      ","       ","       ",560,4050,3400,
7,1,"VEN"," ",27.65,"SEACLIFF COLONY, JCT. RTE.   101, VENTURA FREEWAY                                                             ",560,4050,3400,200,1450,1200,
7,1,"VEN"," ",28.48,"SEACLIFF, MOBIL OIL PIER                                                                                      ",200,1450,1200,"      ","       ","       ",
5,1,"VEN"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
5,1," SB"," ","       ","SANTA BARBARA COUNTY                                                                                          ","      ","       ","       ","      ","       ","       ",
5,1," SB","R",0,"LAS CRUCES, JCT. RTE. 101                                                                                     ","      ","       ","       ",810,6700,6400,
5,1," SB","R",7.61,"MILEPOST EQUATION    =9.02                                                                                    ",,,,,,,
5,1," SB"," ",15.01,"JALAMA ROAD                                                                                                   ",810,6700,6400,780,7200,6600,
5,1," SB"," ",19.25,"LOMPOC, SOUTH JCT. RTE. 246                                                                                   ",960,8700,8000,1650,17600,16000,
5,1," SB"," ",20.57,"LOMPOC, NORTH JCT. RTE. 246                                                                                   ",1700,19800,18100,1450,15000,14800,
5,1," SB"," ",22.52,"LOMPOC,   SANTA YNEZ RIVER BRIDGE                                                                             ",2200,24600,22000,2200,24600,22000,
5,1," SB","R",23.3,"LOMPOC-CASMALIA ROAD,   JUNCTION OLD ROUTE 1                                                                  ",2200,24600,22000,1750,19600,18100,
5,1," SB","R",26.69,"PINE CANYON ROAD                                                                                              ",1750,19600,18100,1450,16200,15200,
5,1," SB","M",29.89,"VANDENBERG AIR FORCE BASE,   MAIN GATE                                                                        ",1700,17300,16500,1500,14100,13500,
5,1," SB","M",36.19,"SOUTH JCT. RTE. 135;   VANDENBERG, NORTH                                                                      ",1600,13400,12800,1900,15300,15000,
5,1," SB","R",34.78,"ORCUTT, JCT. RTE. 135 NORTH                                                                                   ",1900,15300,15000,230,2050,1900,
5,1," SB","R",35.53,"CLARK AVENUE                                                                                                  ",230,2050,1900,400,3900,3400,
5,1," SB"," ",41.81,"GUADALUPE, CASMALIA ROAD                                                                                      ",670,6500,5700,210,2000,1800,
5,1," SB"," ",49.2,"GUADALUPE,   JCT. RTE. 166 EAST                                                                               ",260,2550,2200,720,7300,6800,
5,1," SB"," ",50.41,"GUADALUPE NORTH CITY LIMITS                                                                                   ",660,6200,5500,660,6200,5500,
5,1," SB"," ",50.61,"SANTA BARBARA COUNTY                                                                                          ","      ","       ","       ","      ","       ","       ",
5,1,"SLO"," ",1.29,"OSO FLACO UNDERPASS                                                                                           ",550,5100,4500,510,4800,4500,
5,1,"SLO"," ",6.35,"ENTRANCE,   UNION OIL COKING PLANT                                                                            ",510,4800,4500,500,4550,4000,
5,1,"SLO"," ",10.21,"MILEPOST EQUATION   =10.28                                                                                    ",,,,,,,
5,1,"SLO"," ",10.29,"ARROYO GRANDE ROAD                                                                                            ",500,4550,4000,760,7000,6200,
5,1,"SLO"," ",10.9,"HALCYON ROAD                                                                                                  ",760,7000,6200,830,8000,7100,
5,1,"SLO","R",12.92,"MILEPOST EQUATION   =12.95                                                                                    ",,,,,,,
5,1,"SLO"," ",13,"ENTRANCE,   PISMO BEACH STATE PARK                                                                            ",830,8000,7100,860,8400,7300,
5,1,"SLO"," ",14.1,"GROVER CITY, GRAND AVENUE                                                                                     ",860,8400,7300,1350,13700,12000,
5,1,"SLO"," ",15.27,"PISMO BEACH, VILLA CREEK                                                                                      ",1350,14100,12100,1350,14100,12100,
5,1,"SLO"," ",16.73,"PISMO BEACH,   SOUTH JCT. RTE. 101                                                                            ",1350,13200,11600,"      ","       ","       ",
5,1,"SLO"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
5,1,"SLO"," ",16.77,"SAN LUIS OBISPO,   NORTH JCT. RTE. 101                                                                        ","      ","       ","       ",2850,31500,30000,
5,1,"SLO"," ",17.34,"SAN LUIS OBISPO,   FOOTHILL BOULEVARD                                                                         ",2850,31500,30000,2850,33500,30000,
5,1,"SLO"," ",17.87,"HIGHLAND DRIVE (CHORRO STREET)                                                                                ",2850,33500,30000,2050,24900,22400,
5,1,"SLO"," ",19.71,"ENTRANCE,   CALIFORNIA MENS COLONY                                                                           '",2050,24900,22400,2100,25000,22400,
5,1,"SLO"," ",20.89,"ENTRANCE,   CAMP SAN LUIS OBISPO                                                                              ",2100,25000,22400,2050,23600,21300,
5,1,"SLO"," ",22.65,"ENTRANCE, CUESTA COLLEGE                                                                                      ",2050,23600,21300,1700,20500,18200,
5,1,"SLO"," ",27.43,"BEGIN FREEWAY                                                                                                 ",,,,,,,
5,1,"SLO"," ",27.88,"MORRO BAY, BAYWOOD   PARK ROAD INTERCHANGE                                                                    ",1700,20500,18200,2100,24400,22600,
5,1,"SLO"," ",28.82,"MORRO BAY,   SOUTH MORRO BAY INTERCHANGE                                                                      ",2100,24400,22600,1750,20300,18600,
5,1,"SLO"," ",29.62,"MORRO BAY,   NORTH MORRO BAY INTERCHANGE                                                                      ",1750,20300,18600,2050,24500,22500,
5,1,"SLO"," ",30.14,"JCT. RTE. 41.   MORRO BAY, NORTH                                                                              ",2050,24500,22500,1950,21000,18300,
5,1,"SLO"," ",30.33,"END FREEWAY                                                                                                   ",,,,,,,
5,1,"SLO"," ",31.13,"MORRO BAY,   SAN JACINTO STREET                                                                               ",1950,21000,18300,1950,19700,16300,
5,1,"SLO"," ",31.97,"ATASCADERO BEACH,   YERBA BUENA STREET                                                                        ",1950,19700,16300,1800,18700,15300,
5,1,"SLO","R",34.72,"BEGIN FREEWAY                                                                                                 ",,,,,,,
5,1,"SLO","R",34.91,"OLD CREEK ROAD INTERCHANGE                                                                                    ",1800,18700,15300,1150,11900,9800,
5,1,"SLO","R",36.5,"END FREEWAY                                                                                                   ",,,,,,,
5,1,"SLO","R",35.96,"C STREET INTERCHANGE                                                                                          ",1150,11900,9800,1250,11900,9100,
5,1,"SLO","R",37.08,"MILEPOST EQUATION  =36.84                                                                                     ",,,,,,,
5,1,"SLO"," ",45.99,"JCT. RTE. 46 EAST                                                                                             ",1250,11900,9100,1250,12300,8300,
5,1,"SLO"," ",46.85,"CAMBRIA AIR FORCE BASE ROAD                                                                                   ",1250,12300,8300,1250,12300,8300,
5,1,"SLO"," ",48.26,"ARDATH DRIVE                                                                                                  ",1250,12300,8300,1000,9000,6400,
5,1,"SLO"," ",54.8,"PICO CREEK                                                                                                    ",1050,10300,6800,1000,9500,6300,
5,1,"SLO"," ",56.39,"ENTRANCE,   HEARST CASTLE STATE PARK                                                                          ",1050,10500,7000,440,3950,2500,
5,1,"SLO"," ",58.9,"SAN SIMEON, NORTH                                                                                             ",440,3950,2500,460,4100,2600,
5,1,"SLO","R",61.44,"MILEPOST EQUATION  =61.48                                                                                     ",,,,,,,
5,1,"SLO"," ",71,"MILEPOST EQUATION  =71.11                                                                                     ",,,,,,,
5,1,"SLO"," ",71.34,"SAN CARPOJO CREEK                                                                                             ",430,3650,2300,430,3550,2300,
5,1,"SLO"," ",74.32,"SAN LUIS OBISPO COUNTY                                                                                        ","      ","       ","       ","      ","       ","       ",
5,1,"MON","L",28.04,"MILEPOST EQUATION  =28.01                                                                                     ",,,,,,,
5,1,"MON"," ",35.35,"ANDERSON CANYON BRIDGE                                                                                        ",410,3500,2300,410,3450,2300,
5,1,"MON"," ",46.6,"BIG SUR RIVER BRIDGE                                                                                          ",710,5900,4000,710,5900,4000,
5,1,"MON"," ",62.97,"GARRAPATA CREEK BRIDGE,   BIG SUR, NORTH                                                                      ",840,7300,5300,840,7300,5300,
5,1,"MON"," ",68.34,"CARMEL HIGHLANDS,   YANKEE POINT DRIVE NORTH                                                                  ",840,7300,5300,1250,9200,7200,
5,1,"MON","L",71.2,"MILEPOST EQUATION  =71.17                                                                                     ",,,,,,,
5,1,"MON"," ",71.18,"SAN JOSE CREEK BRIDGE                                                                                         ",1300,12400,12000,1300,12400,12000,
5,1,"MON"," ",72.61,"RIO ROAD                                                                                                      ",1300,12400,12000,2400,22900,22000,
5,1,"MON"," ",72.92,"CARMEL VALLEY ROAD,   CARMEL, SOUTH                                                                           ",2400,22900,22000,4850,45500,44000,
5,1,"MON"," ",73.8,"CARMEL, OCEAN AVENUE                                                                                          ",4850,45500,44000,5000,47500,46000,
5,1,"MON"," ",75.14,"JCT. RTE. 68 NORTH, CARMEL/   PACIFIC GROVE INTERCHANGE                                                       ",6400,63000,60000,6200,75000,66000,
5,1,"MON","R",75.22,"BEGIN FREEWAY                                                                                                 ",,,,,,,
5,1,"MON","R",75.73,"MONTEREY SOUTH CITY LIMITS                                                                                    ",6200,75000,66000,6800,71000,66000,
5,1,"MON","R",75.75,"MONTEREY,   MUNRAS AVENUE INTERCHANGE                                                                         ",6800,71000,66000,4350,48000,46500,
5,1,"MON","R",77.38,"MONTEREY,   AGUAJITO ROAD INTERCHANGE                                                                         ",4350,48000,46500,8800,96000,93000,
5,1,"MON","R",78.12,"MONTEREY, JCT. RTE. 68 EAST                                                                                   ",8800,96000,93000,5400,58000,56000,
5,1,"MON","R",78.88,"MONTEREY, DEL MONTE   AVENUE INTERCHANGE                                                                      ",5400,58000,56000,6000,64000,60000,
5,1,"MON","R",79.36,"SEASIDE, JCT. RTE. 218,   HUMBOLT STREET INTERCHANGE                                                          ",6000,64000,60000,5900,61000,59000,
5,1,"MON","R",80.68,"ORD VILLAGE INTERCHANGE                                                                                       ",5900,61000,59000,7400,80000,75000,
5,1,"MON","R",82.89,"FORT ORD,   MAIN ENTRANCE INTERCHANGE                                                                         ",7400,80000,75000,6500,71000,65000,
5,1,"MON","R",84.48,"FORT ORD, NORTH ENTRANCE   INTERCHANGE (12TH STREET)                                                          ",6500,71000,65000,7200,79000,71000,
5,1,"MON","R",85.14,"SOUTH MARINA INTERCHANGE                                                                                      ",7200,79000,71000,3750,39500,35500,
5,1,"MON","R",86.48,"RESERVATION ROAD                                                                                              ",3750,39500,35500,3750,39500,35500,
5,1,"MON","R",88.64,"NEPONSET ROAD INTERCHANGE   (DEL MONTE BOULEVARD)                                                             ",3750,39500,35500,4500,42500,37500,
5,1,"MON","R",89.19,"SALINAS RIVER BRIDGE,   CASTROVILLE, SOUTH                                                                    ",4500,42500,37500,4500,42500,37500,
5,1,"MON","R",90.39,"MOLERA/NASHUA ROAD   INTERCHANGE                                                                              ",4500,42500,37500,4450,44000,39000,
5,1,"MON","R",90.98,"CASTROVILLE,   JCT. RTE. 156 WEST                                                                             ",4450,44000,39000,2050,21100,18100,
5,1,"MON","R",91.02,"END FREEWAY                                                                                                   ",,,,,,,
5,1,"MON","T",92.21,"CASTROVILLE,   JCT. RTE. 183                                                                                  ",2050,21100,18100,3350,34000,29000,
5,1,"MON","T",92.29,"MILEPOST EQUATION   =93.70                                                                                    ",,,,,,,
5,1,"MON"," ",94.4,"MOLERA ROAD                                                                                                   ",3350,34000,29000,3450,35000,30000,
5,1,"MON"," ",96.1,"MOSS LANDING, DOLAN ROAD                                                                                      ",3450,35000,30000,4000,40000,34500,
5,1,"MON"," ",99.92,"JENSEN ROAD                                                                                                   ",4000,40000,34500,3750,37500,32000,
5,1,"MON","T",101.04,"SALINAS/PAJARO ROADS                                                                                          ",3750,37500,32000,3350,36500,31000,
5,1,"MON","R",101.44,"BEGIN FREEWAY                                                                                                 ",,,,,,,
5,1,"SCR","R",102.03,"MONTEREY-SANTA CRUZ COUNTY   LINE                                                                             ",3350,36500,31000,"      ","       ","       ",
4,1,"SCR","R",0,"MONTEREY-SANTA CRUZ COUNTY   LINE                                                                             ","      ","       ","       ",3350,36500,31000,
4,1,"SCR","R",0.72,"JCT. RTE. 129,   RIVERSIDE DRIVE INTERCHANGE                                                                  ",3350,36500,31000,3800,40000,33500,
4,1,"SCR","R",2.27,"WATSONVILLE, HARKINS   SLOUGH ROAD OVERCROSSING                                                               ",3800,40000,33500,3400,30500,26000,
4,1,"SCR","R",2.68,"WATSONVILLE, JCT. RTE. 152                                                                                    ",3400,30500,26000,5600,51000,43500,
4,1,"SCR","R",3.18,"WATSONVILLE, AIRPORT   BOULEVARD/ROACHE ROAD                                                                  ",5600,51000,43500,6500,58000,50000,
4,1,"SCR","R",4.08,"BUENA VISTA DRIVE   (SPRING VALLEY ROAD)                                                                      ",6500,58000,50000,6500,58000,50000,
4,1,"SCR","R",6.69,"MAR MONTE AVENUE   (LA SELVA BEACH ROAD)                                                                      ",6500,58000,50000,6600,58000,51000,
4,1,"SCR","R",7.66,"LARKIN VALLEY ROAD                                                                                            ",6600,58000,51000,7400,64000,57000,
4,1,"SCR","R",8.26,"MILEPOST EQUATION    =8.06                                                                                    ",,,,,,,
4,1,"SCR"," ",8.36,"FREEDOM BOULEVARD   INTERCHANGE                                                                               ",7400,64000,57000,6200,70000,66000,
4,1,"SCR"," ",9.15,"RIO DEL MAR BOULEVARD   INTERCHANGE                                                                           ",6200,70000,66000,6500,75000,71000,
4,1,"SCR"," ",10.54,"STATE PARK DRIVE INTERCHANGE                                                                                  ",6500,75000,71000,7100,81000,77000,
4,1,"SCR"," ",12.09,"PARK AVENUE INTERCHANGE                                                                                       ",7100,81000,77000,7300,88000,84000,
4,1,"SCR"," ",13.2,"CAPITOLA,   BAY AVENUE INTERCHANGE                                                                            ",7300,88000,84000,7700,95000,91000,
4,1,"SCR"," ",13.62,"CAPITOLA,   41ST AVENUE INTERCHANGE                                                                           ",7700,95000,91000,7300,90000,87000,
4,1,"SCR"," ",14.86,"SOQUEL AVENUE INTERCHANGE                                                                                     ",7300,90000,87000,7800,100000,96000,
4,1,"SCR"," ",15.82,"SANTA CRUZ, MORRISSEY   BOULEVARD INTERCHANGE                                                                 ",7800,100000,96000,7500,91000,87000,
4,1,"SCR"," ",16.63,"SANTA CRUZ,   EMELINE STREET CONNECTION                                                                       ",7500,91000,87000,7400,90000,86000,
4,1,"SCR"," ",16.82,"SANTA CRUZ,   JCT. RTE. 17 NORTH                                                                              ",7400,90000,86000,4950,60000,57000,
4,1,"SCR"," ",17.5,"END FREEWAY                                                                                                   ",,,,,,,
4,1,"SCR"," ",17.56,"SANTA CRUZ,   JCT. RTE. 9 NORTH                                                                               ",4950,60000,57000,3600,44000,41500,
4,1,"SCR"," ",18.24,"SANTA CRUZ, MISSION STREET                                                                                    ",3600,44000,41500,4150,50000,47500,
4,1,"SCR"," ",19,"SANTA CRUZ, BAY STREET                                                                                        ",3000,36000,34000,2500,30000,28000,
4,1,"SCR"," ",19.69,"SANTA CRUZ, SWIFT STREET                                                                                      ",1950,23400,21800,1800,15500,12700,
4,1,"SCR"," ",20.61,"SANTA CRUZ NORTH CITY LIMITS                                                                                  ",1700,15400,12300,1700,15700,12300,
4,1,"SCR"," ",20.61,"SANTA CRUZ NORTH CITY LIMITS                                                                                  ",1550,11300,8700,1900,12000,9100,
"NOT SUPPORTED AT THIS TIME  Z    Z   ",,,,,,,,,,,,
4,1,"SCR"," ",20.61,"SANTA CRUZ NORTH CITY LIMITS                                                                                  ",1550,11300,8700,1850,11600,8500,
4,1," SM"," ",37.45,"SANTA CRUZ COUNTY-SAN MATEO COUNTY                                                                            ",1100,7900,6100,1100,7900,6100,
4,1," SM"," ",13.58,"PEBBLE BEACH ROAD   (TO PESCADERO)                                                                            ",1100,7900,6200,1250,9100,7300,
4,1," SM"," ",18.19,"JCT. RTE. 84 EAST,   LA HONDA ROAD                                                                            ",1350,9600,8000,1250,9300,7500,
4,1," SM"," ",20.98,"TUNITAS CREEK ROAD                                                                                            ",1050,8200,6600,1000,7900,6400,
4,1," SM"," ",23,"MEYN/VERDE ROADS                                                                                              ",1000,7900,6400,1050,8200,6600,
