"Date","Time","# Fog Days","Station Type","Maintenance Indicator","Sky Conditions","Visibility","Weather Type","Dry Bulb Temp (F)","Dew Point Temp. (F)","Wet Bulb Temp (F)","% Rel Humidity","Wind Speed (KT)","Wind Dir.","Wind Char. Gusts (KT)","Val. For Wind Char.","Station Pressure","Pressure Tendency","Sea Level Pressure","Report Type","Precipitation total"
"1","955",,"AO20","-","BKN003 OVC070","3SM","BR","54","53.1000390625","53.4000390625","97","10","130","-","0","30.04001953125","3","183","AA","-"
"1","1013",,"AO21","-","SCT005 OVC075","3SM","BR","-","-","-","-","11","150","-","0","-","-","-","SP","-"
"1","1021",,"AO21","-","BKN005 OVC075","3SM","BR","-","-","-","-","8","140","-","0","-","-","-","SP","-"
"1","1030",,"AO21","-","SCT005 OVC080","3SM","BR","-","-","-","-","10","140","-","0","-","-","-","SP","-"
"1","1042",,"AO21","-","BKN005 OVC080","3SM","BR","-","-","-","-","9","140","-","0","-","-","-","SP","-"
"1","1055",,"AO21","-","FEW005 SCT070 BKN085","4SM","BR","55","54","54.5","96","11","130","-","0","30.04001953125","-","182","AA","-"
"1","1155",,"AO21","-","FEW007 BKN070 BKN085","4SM","BR","55.9000390625","54","54.9000390625","93","11","150","-","0","30.01001953125","-","171","AA","-"
"1","1255",,"AO21","-","FEW007","4SM","BR","57.9000390625","55","56.3000390625","90","9","140","-","0","29.99001953125","8","166","AA","-"
"1","1355",,"AO21","-","BKN050","7SM","-","61","55.9000390625","58.1000390625","84","9","130","-","0","29.98001953125","-","161","AA","-"
"1","1455",,"AO21","-","SCT048 OVC065","7SM","-","60.1000390625","55","57.2000390625","84","7","140","-","0","29.97001953125","-","160","AA","-"
"1","1555",,"AO21","-","BKN048 OVC070","7SM","-","60.1000390625","54","56.7000390625","80","4","140","-","0","29.98001953125","5","160","AA","-"
"1","1655",,"AO21","-","FEW019 BKN042 OVC050","8SM","-","59","55","56.8000390625","87","5","230","-","0","29.99001953125","-","167","AA","-"
"1","1723",,"AO21","-","BKN019 OVC040","7SM","-","-","-","-","-","3","230","-","0","-","-","-","SP","-"
"1","1755",,"AO21","-","FEW017 BKN038 OVC055","7SM","-","57.9000390625","55","56.3000390625","90","0","0","-","0","29.99001953125","-","166","AA","-"
"1","1855",,"AO21","-","SCT060","5SM","BR","57","54","55.4000390625","90","7","110","-","0","29.98001953125","0","161","AA","-"
"1","1955",,"AO21","-","FEW055","4SM","BR","55.9000390625","54","54.9000390625","93","9","150","-","0","29.97001953125","-","158","AA","-"
"1","2055",,"AO22","-","SCT045 SCT110","7SM","-","57.9000390625","54","55.8000390625","87","11","150","-","0","29.95001953125","-","152","AA","-"
"1","2155",,"AO22","-","OVC110","8SM","-","57.9000390625","54","55.8000390625","87","11","160","-","0","29.95001953125","6","150","AA","-"
"1","2255",,"AO22","-","OVC080","10SM","-","57.9000390625","54","55.8000390625","87","12","150","-","0","29.93001953125","-","146","AA","-"
"1","2355",,"AO22","-","BKN075 BKN090 OVC110","10SM","-","57","52","54.3000390625","83","12","150","-","0","29.93001953125","-","145","AA","-"
"2","55",,"AO20","-","OVC060","9SM","-","55.9000390625","52","53.8000390625","87","7","130","-","0","29.95001953125","3","151","AA","-"
"2","155",,"AO20","-","OVC055","5SM","-RA BR","54","53.1000390625","53.4000390625","97","13","130","-","0","29.96001953125","-","155","AA","0.100000076293945"
"2","255",,"AO20","-","BKN047 OVC055","5SM","-RA BR","54","53.1000390625","53.4000390625","97","11","130","-","0","29.97001953125","-","159","AA","0.0700000381469727"
"2","355",,"AO20","-","FEW033 OVC060","3SM","+RA BR","55","54","54.5","96","13","140","-","0","29.96001953125","0","154","AA","0.100000076293945"
"2","455",,"AO20","-","BKN060 OVC085","5SM","RA BR","55","54","54.5","96","18","120","-","0","29.93001953125","-","146","AA","0.0700000381469727"
"2","555",,"AO20","-","BKN047 OVC060","5SM","RA BR","55","54","54.5","96","10","150","-","0","29.96001953125","-","155","AA","0.0700000381469727"
"2","631",,"AO20","-","BKN039 OVC050","2 1/2SM","RA BR","-","-","-","-","9","140","-","0","-","-","-","SP","-"
"2","638",,"AO20","-","BKN039 OVC050","4SM","-RA BR","-","-","-","-","9","140","-","0","-","-","-","SP","-"
"2","655",,"AO20","-","OVC045","4SM","-RA BR","55","54","54.5","96","11","140","-","0","29.98001953125","3","160","AA","0.0900000762939453"
"2","755",,"AO20","-","SCT030 OVC041","8SM","-RA","55","54","54.5","96","11","140","-","0","29.99001953125","-","164","AA","0.0200000190734863"
"2","855",,"AO20","-","SCT030 OVC041","8SM","RA","55","54","54.5","96","10","140","-","0","30","-","170","AA","0.100000076293945"
"2","902",,"AO20","-","BKN030 OVC048","2SM","-RA","-","-","-","-","10","140","-","0","-","-","-","SP","-"
"2","915",,"AO20","-","BKN038 OVC049","4SM","-RA","-","-","-","-","10","140","-","0","-","-","-","SP","-"
"2","955",,"AO20","-","OVC055","10SM","-","55.9000390625","54","54.9000390625","93","11","140","-","0","30","0","169","AA","0.0200000190734863"
"2","1055",,"AO21","-","OVC048","10SM","-RA","57","55","55.9000390625","93","8","150","-","0","29.99001953125","-","167","AA","T"
"2","1155",,"AO21","-","OVC044","3SM","-RA BR","55.9000390625","54","54.9000390625","93","11","160","-","0","29.98001953125","-","163","AA","0.0200000190734863"
"2","1205",,"AO21","-","FEW009 BKN035 OVC046","3SM","-RA BR","-","-","-","-","11","160","-","0","-","-","-","SP","-"
"2","1232",,"AO21","-","BKN033 OVC042","2 1/2SM","RA BR","-","-","-","-","10","150","-","0","-","-","-","SP","-"
"2","1247",,"AO21","-","SCT006 OVC033","1 3/4SM","+RA BR","-","-","-","-","11","140","-","0","-","-","-","SP","-"
"2","1255",,"AO21","-","FEW006 BKN033 OVC046","2 1/2SM","RA BR","54","53.1000390625","53.4000390625","97","11","140","-","0","29.96001953125","8","156","AA","0.100000076293945"
"2","1303",,"AO21","-","FEW006 BKN035 OVC046","3SM","RA BR","-","-","-","-","11","150","-","0","-","-","-","SP","-"
"2","1330",,"AO21","-","BKN031 OVC044","2SM","RA BR","-","-","-","-","10","140","-","0","-","-","-","SP","-"
"2","1338",,"AO21","-","BKN025 BKN034 OVC044","1 3/4SM","+RA BR","-","-","-","-","12","130","-","0","-","-","-","SP","-"
"2","1347",,"AO21","-","BKN025 BKN034 OVC044","2 1/2SM","RA BR","-","-","-","-","12","130","-","0","-","-","-","SP","-"
"2","1355",,"AO21","-","BKN037 OVC046","2 1/2SM","RA BR","54","54","54","100","12","130","-","0","29.95001953125","-","150","AA","0.130000076293945"
"2","1455",,"AO21","-","FEW039 BKN060 OVC080","4SM","-RA BR","55","54","54.5","96","10","130","-","0","29.95001953125","-","152","AA","0.0500000381469727"
"2","1555",,"AO21","-","SCT044 OVC070","5SM","BR","55.9000390625","54","54.9000390625","93","11","130","-","0","29.96001953125","5","154","AA","0.0300000190734863"
"2","1655",,"AO21","-","FEW012 BKN043 OVC049","7SM","-","55.9000390625","55","55.4000390625","97","9","130","-","0","29.97001953125","-","157","AA","-"
"2","1709",,"AO21","-","BKN010 BKN036 OVC047","9SM","-","-","-","-","-","10","140","-","0","-","-","-","SP","-"
"2","1743",,"AO21","-","OVC008","10SM","-","-","-","-","-","9","140","-","0","-","-","-","SP","-"
"2","1755",,"AO21","-","OVC008","9SM","-","55.9000390625","55","55.4000390625","97","10","140","-","0","29.98001953125","-","162","AA","-"
"2","1855",,"AO21","-","OVC008","3SM","RA BR","55.9000390625","54","54.9000390625","93","4","150","-","0","30","3","170","AA","0.0600000381469727"
"2","1901",,"AO21","-","BKN008 OVC011","1 3/4SM","+RA BR","-","-","-","-","5","130","-","0","-","-","-","SP","-"
"2","1908",,"AO21","-","BKN006 OVC010","3SM","RA BR","-","-","-","-","5","140","-","0","-","-","-","SP","-"
"2","1955",,"AO21","-","OVC008","4SM","-RA BR","55","54","54.5","96","8","130","-","0","30.02001953125","-","175","AA","0.150000076293945"
"2","2055",,"AO22","-","BKN008 BKN019 OVC045","4SM","-RA BR","54","53.1000390625","53.4000390625","97","7","130","-","0","30.04001953125","-","181","AA","0.110000076293945"
"2","2102",,"AO22","-","FEW034 SCT047 OVC055","7SM","-RA","-","-","-","-","9","130","-","0","-","-","-","SP","-"
"2","2155",,"AO22","-","SCT017 SCT048 OVC120","10SM","-","53.1000390625","52","52.5","96","6","130","-","0","30.05001953125","3","187","AA","T"
"2","2206",,"AO22","-","BKN015 OVC120","10SM","-","-","-","-","-","7","150","-","0","-","-","-","SP","-"
"2","2227",,"AO22","-","OVC013","10SM","-","-","-","-","-","4","120","-","0","-","-","-","SP","-"
"2","2241",,"AO22","-","BKN007 OVC011","10SM","-","-","-","-","-","0","0","-","0","-","-","-","SP","-"
"2","2255",,"AO22","-","BKN007 OVC011","10SM","-","55","53.1000390625","54","93","0","0","-","0","30.07001953125","-","191","AA","-"
"2","2325",,"AO22","-","SCT007 BKN014","8SM","-","-","-","-","-","0","0","-","0","-","-","-","SP","-"
"2","2340",,"AO22","-","FEW005 SCT014","6SM","BR","-","-","-","-","5","250","-","0","-","-","-","SP","-"
"2","2355",,"AO22","-","BKN003","3SM","BR","54","53.1000390625","53.4000390625","97","7","270","-","0","30.08001953125","-","196","AA","-"
"2","2358",,"AO22","-","BKN003","1 3/4SM","BR","-","-","-","-","7","280","-","0","-","-","-","SP","-"
"3","17",,"AO20","-","VV001","1/4SM","FG","-","-","-","-","7","300","-","0","-","-","-","SP","-"
"3","55",,"AO20","-","BKN001 OVC005","1/4SM","FG","51.1000390625","51.1000390625","51.1000390625","100","4","280","-","0","30.10001953125","3","203","AA","-"
"3","155",,"AO20","-","VV001","1/4SM","FG","48","48","48","100","0","0","-","0","30.13001953125","-","212","AA","-"
"3","211",,"AO20","-","VV001","1SM","BR","-","-","-","-","0","0","-","0","-","-","-","SP","-"
"3","214",,"AO20","-","SCT001","2SM","BR","-","-","-","-","0","0","-","0","-","-","-","SP","-"
"3","221",,"AO20","-","FEW001","6SM","BR","-","-","-","-","0","0","-","0","-","-","-","SP","-"
"3","255",,"AO20","-","CLR","5SM","BR","46.9000390625","46.9000390625","46.9000390625","100","0","0","-","0","30.14001953125","-","217","AA","-"
"3","355",,"AO20","-","CLR","7SM","-","46","46","46","100","0","0","-","0","30.15001953125","1","218","AA","-"
"3","455",,"AO20","-","CLR","4SM","BR","45","45","45","100","0","0","-","0","30.14001953125","-","216","AA","-"
"3","506",,"AO20","-","CLR","2 1/2SM","BR","-","-","-","-","0","0","-","0","-","-","-","SP","-"
"3","528",,"AO20","-","CLR","5SM","BR","-","-","-","-","3","70","-","0","-","-","-","SP","-"
"3","555",,"AO20","-","CLR","1 3/4SM","BR","42.1000390625","42.1000390625","42.1000390625","100","0","0","-","0","30.15001953125","-","218","AA","0.0100000095367432"
"3","610",,"AO20","-","CLR","3/4SM","BR","-","-","-","-","0","0","-","0","-","-","-","SP","-"
"3","618",,"AO20","-","CLR","1SM","BR","-","-","-","-","0","0","-","0","-","-","-","SP","-"
"3","625",,"AO20","-","CLR","1/2SM","FG","-","-","-","-","3","210","-","0","-","-","-","SP","-"
"3","636",,"AO20","-","VV001","1/2SM","FG","-","-","-","-","3","230","-","0","-","-","-","SP","-"
"3","645",,"AO20","-","CLR","3/4SM","BR","-","-","-","-","4","240","-","0","-","-","-","SP","-"
"3","655",,"AO20","-","CLR","3/4SM","BR","39.90001953125","39.90001953125","39.90001953125","100","3","260","-","0","30.16001953125","3","222","AA","-"
"3","705",,"AO20","-","CLR","1 1/2SM","BR","-","-","-","-","0","0","-","0","-","-","-","SP","-"
"3","709",,"AO20","-","VV001","3/4SM","BR","-","-","-","-","0","0","-","0","-","-","-","SP","-"
"3","724",,"AO20","-","CLR","1/2SM","FG","-","-","-","-","0","0","-","0","-","-","-","SP","-"
"3","738",,"AO20","-","CLR","10SM","-","-","-","-","-","0","0","-","0","-","-","-","SP","-"
"3","755",,"AO20","-","CLR","10SM","-","43","43","43","100","3","340","-","0","30.18001953125","-","229","AA","-"
"3","855",,"AO20","-","CLR","10SM","-","48.9000390625","48.9000390625","48.9000390625","100","0","0","-","0","30.20001953125","-","235","AA","-"
"3","955",,"AO20","-","CLR","10SM","-","51.1000390625","46.9000390625","48.9000390625","86","8","290","-","0","30.22001953125","3","244","AA","-"
"3","1055",,"AO21","-","CLR","10SM","-","54","46.9000390625","50.4000390625","77","9","330","-","0","30.22001953125","-","243","AA","-"
"3","1155",,"AO21","-","CLR","10SM","-","55","48","51.4000390625","77","13","310","-","0","30.22001953125","-","242","AA","-"
"3","1255",,"AO21","-","CLR","10SM","-","53.1000390625","48","50.5","83","9","320","-","0","30.21001953125","8","240","AA","-"
"3","1355",,"AO21","-","CLR","10SM","-","53.1000390625","48","50.5","83","8","320","-","0","30.21001953125","-","240","AA","-"
"3","1455",,"AO21","-","SCT010","10SM","-","54","48.9000390625","51.4000390625","83","10","340","-","0","30.23001953125","-","246","AA","-"
"3","1555",,"AO21","-","CLR","10SM","-","54","48.9000390625","51.4000390625","83","10","330","-","0","30.23001953125","3","247","AA","-"
"3","1655",,"AO21","-","CLR","10SM","-","52","48","50","86","5","310","-","0","30.24001953125","-","248","AA","-"
"3","1755",,"AO21","-","CLR","9SM","-","48.9000390625","46.9000390625","48","93","4","300","-","0","30.24001953125","-","251","AA","-"
"3","1855",,"AO21","-","CLR","8SM","-","48","46","47.1000390625","93","5","270","-","0","30.25","3","254","AA","-"
"3","1955",,"AO21","-","CLR","9SM","-","48","46","47.1000390625","93","7","300","-","0","30.26001953125","-","257","AA","-"
"3","2055",,"AO22","-","CLR","6SM","BR","46","45","45.5","96","6","300","-","0","30.27001953125","-","259","AA","-"
"3","2155",,"AO22","-","CLR","5SM","BR","46","46","46","100","6","280","-","0","30.27001953125","1","261","AA","-"
"3","2255",,"AO22","-","CLR","5SM","BR","45","44.1000390625","44.6000390625","97","5","270","-","0","30.25","-","255","AA","-"
"3","2355",,"AO22","-","CLR","4SM","BR","43","43","43","100","4","270","-","0","30.24001953125","-","250","AA","-"
"4","55",,"AO20","-","CLR","6SM","BR","42.1000390625","42.1000390625","42.1000390625","100","5","260","-","0","30.24001953125","5","251","AA","-"
"4","155",,"AO20","-","CLR","4SM","BR","41","41","41","100","0","0","-","0","30.24001953125","-","248","AA","-"
"4","255",,"AO20","-","CLR","7SM","-","39.90001953125","39.90001953125","39.90001953125","100","5","280","-","0","30.23001953125","-","245","AA","-"
"4","355",,"AO20","-","CLR","7SM","-","42.1000390625","41","41.5","96","3","280","-","0","30.22001953125","7","241","AA","-"
"4","440",,"AO20","-","CLR","2 1/2SM","BR","-","-","-","-","4","110","-","0","-","-","-","SP","-"
"4","447",,"AO20","-","VV001","1SM","BR","-","-","-","-","4","100","-","0","-","-","-","SP","-"
"4","455",,"AO20","-","VV001","1/2SM","FG","37","37","37","100","4","100","-","0","30.22001953125","-","243","AA","-"
"4","555",,"AO20","-","BKN001 OVC007","1/2SM","FG","37.90001953125","37.90001953125","37.90001953125","100","5","100","-","0","30.23001953125","-","247","AA","-"
"4","603",,"AO20","-","BKN003 OVC007","1/4SM","FG","-","-","-","-","6","100","-","0","-","-","-","SP","-"
"4","646",,"AO20","-","OVC003","3/4SM","BR","-","-","-","-","3","220","-","0","-","-","-","SP","-"
"4","655",,"AO20","-","BKN001 OVC007","1SM","BR","39.90001953125","39.90001953125","39.90001953125","100","0","0","-","0","30.25","3","254","AA","-"
"4","755",,"AO20","-","VV001","1/4SM","FG","42.1000390625","42.1000390625","42.1000390625","100","0","0","-","0","30.27001953125","-","260","AA","-"
"4","804",,"AO20","-","OVC002","1/4SM","FG","-","-","-","-","0","0","-","0","-","-","-","SP","-"
"4","855",,"AO20","-","OVC002","1/4SM","FG","43","43","43","100","4","200","-","0","30.29001953125","-","266","AA","-"
"4","902",,"AO20","-","OVC002","1/2SM","FG","-","-","-","-","3","190","-","0","-","-","-","SP","-"
"4","925",,"AO20","-","OVC002","M1/4SM","FG","-","-","-","-","4","200","-","0","-","-","-","SP","-"
"4","955",,"AO20","-","OVC001","1/2SM","FG","45","45","45","100","6","160","-","0","30.29001953125","1","266","AA","-"
"4","1008",,"AO21","-","OVC001","1SM","BR","-","-","-","-","5","190","-","0","-","-","-","SP","-"
"4","1055",,"AO21","-","OVC003","1SM","BR","46","46","46","100","4","170","-","0","30.28001953125","-","264","AA","-"
"4","1102",,"AO21","-","OVC003","2SM","BR","-","-","-","-","5","180","-","0","-","-","-","SP","-"
"4","1122",,"AO21","-","SCT003 BKN014","2SM","BR","-","-","-","-","3","VRB","-","0","-","-","-","SP","-"
"4","1139",,"AO21","-","BKN005","4SM","BR","-","-","-","-","3","190","-","0","-","-","-","SP","-"
"4","1155",,"AO21","-","OVC005","5SM","BR","48.9000390625","46.9000390625","48","93","4","VRB","-","0","30.25","-","252","AA","-"
"4","1223",,"AO21","-","FEW007","8SM","-","-","-","-","-","5","130","-","0","-","-","-","SP","-"
"4","1255",,"AO21","-","SCT011","10SM","-","52","48","50","86","5","120","-","0","30.24001953125","8","248","AA","-"
"4","1312",,"AO21","-","BKN013","10SM","-","-","-","-","-","7","140","-","0","-","-","-","SP","-"
"4","1333",,"AO21","-","SCT013","10SM","-","-","-","-","-","8","110","-","0","-","-","-","SP","-"
"4","1355",,"AO21","-","SCT013","9SM","-","52","46.9000390625","49.5","83","7","110","-","0","30.23001953125","-","246","AA","-"
"4","1455",,"AO21","-","BKN040","10SM","-","53.1000390625","46.9000390625","50","80","10","110","-","0","30.22001953125","-","244","AA","-"
"4","1555",,"AO21","-","SCT015","9SM","-","52","46.9000390625","49.5","83","10","140","-","0","30.23001953125","5","245","AA","-"
"4","1655",,"AO21","-","CLR","7SM","-","50","46.9000390625","48.6000390625","89","7","130","-","0","30.22001953125","-","242","AA","-"
"4","1755",,"AO21","-","CLR","7SM","-","46.9000390625","45","46","93","4","150","-","0","30.24001953125","-","249","AA","-"
"4","1855",,"AO21","-","CLR","7SM","-","46.9000390625","45","46","93","4","100","-","0","30.24001953125","3","250","AA","-"
"4","1955",,"AO21","-","CLR","5SM","BR","45","44.1000390625","44.6000390625","97","6","60","-","0","30.27001953125","-","258","AA","-"
"4","2055",,"AO22","-","CLR","5SM","BR","46","44.1000390625","45.1000390625","93","9","80","-","0","30.28001953125","-","262","AA","-"
"4","2155",,"AO22","-","CLR","5SM","BR","44.1000390625","43","43.5","96","5","90","-","0","30.30001953125","1","269","AA","-"
"4","2255",,"AO22","-","CLR","4SM","BR","43","42.1000390625","42.6000390625","97","6","140","-","0","30.31001953125","-","272","AA","-"
"4","2355",,"AO22","-","CLR","3SM","BR","43","42.1000390625","42.6000390625","97","6","140","-","0","30.30001953125","-","271","AA","0.0100000095367432"
"5","55",,"AO20","-","CLR","3SM","BR","43","42.1000390625","42.6000390625","97","6","130","-","0","30.30001953125","8","268","AA","-"
"5","119",,"AO20","-","SCT006","2SM","BR","-","-","-","-","4","160","-","0","-","-","-","SP","-"
"5","128",,"AO20","-","BKN006 BKN009","2 1/2SM","BR","-","-","-","-","5","140","-","0","-","-","-","SP","-"
"5","133",,"AO20","-","BKN004 BKN009","3SM","BR","-","-","-","-","7","140","-","0","-","-","-","SP","-"
"5","144",,"AO20","-","OVC004","2 1/2SM","BR","-","-","-","-","10","150","-","0","-","-","-","SP","-"
"5","155",,"AO20","-","OVC002","1 3/4SM","BR","46","45","45.5","96","12","150","-","0","30.29001953125","-","266","AA","-"
"5","255",,"AO20","-","OVC002","1 1/4SM","BR","46","46","46","100","12","150","-","0","30.27001953125","-","259","AA","-"
"5","327",,"AO20","-","OVC002","2SM","BR","-","-","-","-","11","150","-","0","-","-","-","SP","-"
"5","339",,"AO20","-","OVC002","1 3/4SM","BR","-","-","-","-","8","140","-","0","-","-","-","SP","-"
"5","355",,"AO20","-","OVC002","1 1/4SM","BR","46","46","46","100","13","140","-","0","30.26001953125","8","256","AA","-"
"5","455",,"AO20","-","OVC002","3/4SM","BR","46","46","46","100","12","110","-","0","30.25","-","253","AA","-"
"5","509",,"AO20","-","OVC002","1SM","BR","-","-","-","-","7","110","-","0","-","-","-","SP","-"
"5","555",,"AO20","-","OVC002","1SM","BR","46","46","46","100","6","80","-","0","30.32001953125","-","277","AA","-"
"5","603",,"AO20","-","OVC002","3/4SM","BR","-","-","-","-","7","100","-","0","-","-","-","SP","-"
"5","622",,"AO20","-","OVC002","1 1/4SM","BR","-","-","-","-","4","110","-","0","-","-","-","SP","-"
"5","655",,"AO20","-","OVC002","1 3/4SM","BR","46","46","46","100","8","110","-","0","30.34001953125","3","285","AA","-"
"5","730",,"AO20","-","OVC002","2SM","BR","-","-","-","-","8","110","-","0","-","-","-","SP","-"
"5","737",,"AO20","-","OVC002","1 1/2SM","BR","-","-","-","-","9","120","-","0","-","-","-","SP","-"
"5","755",,"AO20","-","OVC002","1/2SM","FG","46","46","46","100","8","120","-","0","30.35001953125","-","286","AA","-"
"5","855",,"AO20","-","OVC004","3/4SM","BR","46.9000390625","46","46.6000390625","97","11","150","-","0","30.37001953125","-","294","AA","-"
"5","858",,"AO20","-","OVC004","2SM","BR","-","-","-","-","11","150","-","0","-","-","-","SP","-"
"5","908",,"AO20","-","OVC004","1 1/2SM","BR","-","-","-","-","8","140","-","0","-","-","-","SP","-"
"5","955",,"AO20","-","OVC004","1 3/4SM","BR","46.9000390625","46","46.6000390625","97","12","160","-","0","30.37001953125","1","294","AA","-"
"5","1002",,"AO21","-","OVC004","2SM","BR","-","-","-","-","11","160","-","0","-","-","-","SP","-"
"5","1055",,"AO21","-","OVC004","2SM","BR","48","46","47.1000390625","93","9","170","-","0","30.36001953125","-","290","AA","-"
"5","1130",,"AO21","-","OVC006","3SM","BR","-","-","-","-","10","150","-","0","-","-","-","SP","-"
"5","1155",,"AO21","-","OVC006","3SM","BR","48.9000390625","46","47.5","90","7","150","-","0","30.34001953125","-","283","AA","-"
"5","1255",,"AO21","-","OVC009","3SM","BR","50","46","48","86","3","130","-","0","30.32001953125","8","277","AA","-"
"5","1316",,"AO21","-","BKN006 OVC009","2 1/2SM","BR","-","-","-","-","5","80","-","0","-","-","-","SP","-"
"5","1355",,"AO21","-","BKN006 OVC009","2 1/2SM","BR","51.1000390625","46.9000390625","48.9000390625","86","3","60","-","0","30.32001953125","-","276","AA","-"
"5","1455",,"AO21","-","BKN006 OVC009","2 1/2SM","BR","51.1000390625","46.9000390625","48.9000390625","86","4","90","-","0","30.32001953125","-","278","AA","-"
"5","1555",,"AO21","-","BKN006 OVC009","2 1/2SM","HZ","52","46.9000390625","49.5","83","6","100","-","0","30.30001953125","8","271","AA","T"
"5","1655",,"AO21","-","BKN006","2 1/2SM","BR","52","48","50","86","0","0","-","0","30.31001953125","-","275","AA","-"
"5","1755",,"AO21","-","SCT050 OVC075","5SM","BR","51.1000390625","48","49.5","89","0","0","-","0","30.33001953125","-","280","AA","-"
"5","1855",,"AO21","-","SCT050 BKN060 OVC075","4SM","BR","50","48","48.9000390625","93","5","240","-","0","30.34001953125","3","284","AA","T"
"5","1955",,"AO21","-","FEW048 OVC060","4SM","BR","50","48","48.9000390625","93","0","0","-","0","30.32001953125","-","277","AA","-"
"5","2055",,"AO22","-","OVC065","4SM","BR","50","48","48.9000390625","93","0","0","-","0","30.33001953125","-","279","AA","-"
"5","2155",,"AO22","-","OVC065","3SM","BR","50","48","48.9000390625","93","0","0","-","0","30.34001953125","5","283","AA","-"
"5","2255",,"AO22","-","SCT065","3SM","BR","48.9000390625","48","48.4000390625","97","6","120","-","0","30.32001953125","-","277","AA","-"
"5","2355",,"AO22","-","OVC065","3SM","BR","50","48","48.9000390625","93","7","110","-","0","30.29001953125","-","268","AA","-"
"6","55",,"AO20","-","OVC070","4SM","BR","50","48","48.9000390625","93","7","100","-","0","30.28001953125","6","264","AA","-"
"6","155",,"AO20","-","OVC075","3SM","BR","50","48","48.9000390625","93","3","150","-","0","30.30001953125","-","271","AA","-"
"6","255",,"AO20","-","CLR","2 1/2SM","BR","48.9000390625","48","48.4000390625","97","0","0","-","0","30.29001953125","-","266","AA","-"
"6","355",,"AO20","-","BKN110","2 1/2SM","BR","48.9000390625","48","48.4000390625","97","3","80","-","0","30.29001953125","0","265","AA","-"
"6","455",,"AO20","-","BKN100","2 1/2SM","BR","48","46.9000390625","47.5","96","4","120","-","0","30.29001953125","-","266","AA","-"
"6","518",,"AO20","-","OVC100","3SM","BR","-","-","-","-","3","100","-","0","-","-","-","SP","-"
"6","546",,"AO20","-","OVC100","2 1/2SM","BR","-","-","-","-","6","100","-","0","-","-","-","SP","-"
